Банк	Лицензия	ликвдата	причина	статус	хреф
МДМ Банк	2562	18.11.2016	"[<dd class=""margin-bottom-zero"">Запись о регистрации кредитной организации ПАО «Бинбанк» аннулирована в соответствии с документом № 2167700672940 от 18.11.2016 в связи с реорганизацией в форме присоединения ПАО «Бинбанк» к ПАО «МДМ Банк». <strong><a href=""http://www.banki.ru/banks/bank/binbank/"">Объединенная кредитная организация</a> сохранила лицензию МДМ Банка (рег. № 323), продолжив работу под брендом «Бинбанк».</strong></dd>]"	ликв.	/banks/memory/bank/?id=9385325
Бинбанк Мурманск	1276	18.11.2016	"[<dd class=""margin-bottom-zero"">Прекращение деятельности в связи с реорганизацией в форме присоединения ПАО «Бинбанк Мурманск» к ПАО «Бинбанк». В результате присоединения все офисы ПАО «Бинбанк Мурманск» стали отделениями Бинбанка и все клиенты присоединенной кредитной организации автоматически переведены на обслуживание в Бинбанк.</dd>]"	ликв.	/banks/memory/bank/?id=9387441
Бинбанк Тверь	777	11.11.2016	"[<dd class=""margin-bottom-zero"">Прекращение деятельности в связи с реорганизацией в форме присоединения ПАО «Бинбанк Тверь» к ПАО «Бинбанк». В результате присоединения все офисы ПАО «Бинбанк Тверь» стали отделениями Бинбанка и все клиенты присоединенной кредитной организации автоматически переведены на обслуживание в Бинбанк.</dd>]"	ликв.	/banks/memory/bank/?id=9372236
СМБ-Банк	3504	19.09.2016	"[<dd class=""margin-bottom-zero"">Прекращение деятельности в связи с реорганизацией в форме присоединения АО «СМБ-Банк» к ПАО «Банк «Александровский».</dd>]"	ликв.	/banks/memory/bank/?id=9255046
Азия Банк	3183	07.09.2016	"[<dd class=""margin-bottom-zero"">Лицензия у АО «Азия Банк» аннулирована Банком России на основании статьи 23 Федерального закона «О банках и банковской деятельности» в связи с решением уполномоченного органа кредитной организации о прекращении деятельности в порядке ликвидации согласно статье 61 Гражданского кодекса Российской Федерации и направлением в Банк России соответствующего ходатайства.</dd>]"	ликв.	/banks/memory/bank/?id=9209436
Ханты-Мансийский банк Открытие	1971	22.08.2016	"[<dd class=""margin-bottom-zero"">Прекращение деятельности в связи с реорганизацией в форме присоединения ПАО «Ханты-Мансийский банк Открытие» к ПАО «Банк «ФК Открытие».</dd>]"	ликв.	/banks/memory/bank/?id=9177700
Приполярком	507-К	12.08.2016	"[<dd class=""margin-bottom-zero"">Приказом Банка России от 12.08.2016 N ОД-2616 аннулирована лицензия на осуществление банковских операций у кредитной организации АО «РНКО «Приполярком» (рег. № 507-К, г. Тюмень) с 12.08.2016.<br/>
<br/>
Лицензия у АО «РНКО «Приполярком» аннулирована Банком России на основании статьи 23 Федерального закона «О банках и банковской деятельности» в связи с решением уполномоченного органа кредитной организации о прекращении деятельности в порядке ликвидации согласно статье 61 Гражданского кодекса Российской Федерации и направлением в Банк России соответствующего ходатайства.</dd>]"	ликв.	/banks/memory/bank/?id=9136689
Экспо Финанс	2594	01.08.2016	"[<dd class=""margin-bottom-zero"">Прекращение деятельности в связи с реорганизацией в форме присоединения АО «Банк «Экспо Финанс» к ООО «Экспобанк».</dd>]"	ликв.	/banks/memory/bank/?id=9121533
Первобанк	3461	01.07.2016	"[<dd class=""margin-bottom-zero"">Прекращение деятельности в связи с реорганизацией в форме присоединения ПАО «Первый Объединенный Банк» к ПАО «Промсвязьбанк». В результате присоединения все офисы «Первобанка» стали отделениями Промсвязьбанка и все клиенты присоединенной кредитной организации автоматически переведены на обслуживание в Промсвязьбанк.</dd>]"	ликв.	/banks/memory/bank/?id=9043124
Бинбанк Смоленск	1957	17.06.2016	"[<dd class=""margin-bottom-zero"">Прекращение деятельности в связи с реорганизацией в форме присоединения ПАО «Бинбанк Смоленск» к ПАО «Бинбанк». В результате присоединения все офисы ПАО «Бинбанк Смоленск» стали отделениями Бинбанка и все клиенты присоединенной кредитной организации автоматически переведены на обслуживание в Бинбанк.</dd>]"	ликв.	/banks/memory/bank/?id=9015823
Бинбанк Сургут	1701	17.06.2016	"[<dd class=""margin-bottom-zero"">Прекращение деятельности в связи с реорганизацией в форме присоединения ПАО «Бинбанк Сургут» к ПАО «Бинбанк». В результате присоединения все офисы ПАО «Бинбанк Сургут» стали отделениями Бинбанка и все клиенты присоединенной кредитной организации автоматически переведены на обслуживание в Бинбанк.</dd>]"	ликв.	/banks/memory/bank/?id=9015807
Кедр	1574	10.06.2016	"[<dd class=""margin-bottom-zero"">Прекращение деятельности в связи с реорганизацией в форме присоединения ПАО «КБ «Кедр» к ПАО «Бинбанк». В результате присоединения все офисы «Кедра» стали отделениями Бинбанка и все клиенты присоединенной кредитной организации автоматически переведены на обслуживание в Бинбанк.</dd>]"	ликв.	/banks/memory/bank/?id=9001527
Верхневолжский	1084	17.05.2016	"[<dd class=""margin-bottom-zero"">Запись о регистрации кредитной организации аннулирована в соответствии с документом № 2169204111514 от 17.05.2016.</dd>]"	ликв.	/banks/memory/bank/?id=8940803
Инвестиционный Республиканский Банк	2571	25.04.2016	"[<dd class=""margin-bottom-zero"">Запись о регистрации кредитной организации аннулирована в соответствии с документом № 2167700140782 от 25.04.2016.</dd>]"	ликв.	/banks/memory/bank/?id=8889663
Интеррасчет	1618-К	08.04.2016	"[<dd class=""margin-bottom-zero"">Лицензия у АО «РНКО «Интеррасчет» аннулирована Банком России на основании статьи 23 Федерального закона «О банках и банковской деятельности» в связи с решением уполномоченного органа кредитной организации о прекращении деятельности в порядке ликвидации согласно статье 61 Гражданского кодекса Российской Федерации и направлением в Банк России соответствующего ходатайства.</dd>]"	ликв.	/banks/memory/bank/?id=8841954
Н-Банк	3493	09.12.2015	"[<dd class=""margin-bottom-zero"">Запись о регистрации кредитной организации аннулирована в соответствии с документом № 2152400030451 от 09.12.2015.</dd>]"	ликв.	/banks/memory/bank/?id=8574809
Инвесткапиталбанк	2377	26.10.2015	"[<dd class=""margin-bottom-zero"">Запись о регистрации кредитной организации аннулирована в соответствии с документом № 2157700194056 от 26.10.2015.</dd>]"	ликв.	/banks/memory/bank/?id=8420975
Нерюнгрибанк	825	04.09.2015	"[<dd class=""margin-bottom-zero"">Запись о регистрации кредитной организации аннулирована в соответствии с документом № 2157400046384 от 04.09.2015.</dd>]"	ликв.	/banks/memory/bank/?id=8292794
Зеленокумская	1239-Д	03.08.2015	"[<dd class=""margin-bottom-zero"">Лицензия у АО «НКО «Зеленокумская» аннулирована Банком России на основании статьи 23 Федерального закона «О банках и банковской деятельности» в связи с решением уполномоченного органа кредитной организации о прекращении деятельности в порядке ликвидации согласно статье 61 Гражданского кодекса Российской Федерации и направлением в Банк России соответствующего ходатайства.</dd>]"	ликв.	/banks/memory/bank/?id=8212403
Агентство Кредитных Гарантий	3526-Д	23.07.2015	"[<dd class=""margin-bottom-zero"">Запись о регистрации кредитной организации аннулирована в соответствии с документом № 2157700134194 от 23.07.2015.</dd>]"	ликв.	/banks/memory/bank/?id=8202190
Еврокапитал-Альянс	3459	07.07.2015	"[<dd class=""margin-bottom-zero"">Запись о регистрации кредитной организации аннулирована в соответствии с документом № 2150500034221 от 07.07.2015.</dd>]"	ликв.	/banks/memory/bank/?id=8160566
МАК-Банк	1088	22.06.2015	"[<dd class=""margin-bottom-zero"">Запись о регистрации кредитной организации аннулирована в соответствии с документом № 2157700114328 от 22.06.2015.</dd>]"	ликв.	/banks/memory/bank/?id=8094645
Лефко-Банк	1605	16.06.2015	"[<dd class=""margin-bottom-zero"">Запись о регистрации кредитной организации аннулирована в соответствии с документом № 2157700108949 от 16.06.2015.</dd>]"	ликв.	/banks/memory/bank/?id=8094826
Петрокоммерц	1776	15.06.2015	"[<dd class=""margin-bottom-zero"">Запись о регистрации кредитной организации аннулирована в соответствии с документом № 2157700108476 от 15.06.2015.</dd>]"	ликв.	/banks/memory/bank/?id=8078305
Восточно-Европейский Трастовый Банк	2253	10.06.2015	"[<dd class=""margin-bottom-zero""><p>Лицензия у АО «КБ «ВЕТБ» аннулирована Банком России на основании статьи 23 Федерального закона «О банках и банковской деятельности» в связи с решением уполномоченного органа кредитной организации о прекращении деятельности в порядке ликвидации согласно статье 61 Гражданского кодекса Российской Федерации и направлением в Банк России соответствующего ходатайства. </p>
<p>Исходя из представленных АО «КБ «ВЕТБ» данных, кредитная организация располагает достаточным имуществом для удовлетворения требований кредиторов.</p></dd>]"	ликв.	/banks/memory/bank/?id=8056205
Фреско Банк	1415	03.02.2015	"[<dd class=""margin-bottom-zero"">В связи с реорганизацией в форме присоединения ЗАО «Фреско банк» к ЗАО «АКБ «Город» запись о регистрации кредитной организации аннулирована в соответствии с документом № 2157700040320 от 03.02.2015 года.</dd>]"	ликв.	/banks/memory/bank/?id=7729920
Региональный Корпоративный Банк	1134	15.01.2015	"[<dd class=""margin-bottom-zero""><p>В связи с завершением реорганизации в форме присоединения ООО «Региональный корпоративный банк» к <nobr>ООО «КБ «Регнум» </nobr>запись о регистрации кредитной организации аннулирована в соответствии с документом № 2157700033423 от <nobr>15.01.2015</nobr>.</p></dd>]"	ликв.	/banks/memory/bank/?id=7602351
