Лицензия_банк,ИД_1300,дата
"Банк Кредит Свисс лицензия № 2494, Москва и обл.",10000,2015-02-01
"ВРБ лицензия № 3499, Москва и обл.",10000,2015-02-01
"Дельта Кей лицензия № 3513, Москва и обл.",10000,2015-02-01
"Евроинвест лицензия № 3383, Москва и обл.",10000,2015-02-01
"Московский Областной Банк лицензия № 1751, Москва и обл.",9541,2015-02-01
"Рунэтбанк лицензия № 2829, Москва и обл.",9111,2015-02-01
"Инвестиционный Республиканский Банк лицензия № 2571, Москва и обл.",8967,2015-02-01
"Анелик РУ лицензия № 3443, Москва и обл.",8661,2015-02-01
"Финанс Бизнес Банк лицензия № 520, Москва и обл.",8287,2015-02-01
"Мир Бизнес Банк лицензия № 3396, Москва и обл.",8060,2015-02-01
"Капитал лицензия № 575, Москва и обл.",7042,2015-02-01
"Платина лицензия № 2347, Москва и обл.",5700,2015-02-01
"Приполярком лицензия № 507, Тюменская обл.",5656,2015-02-01
"Народный Доверительный Банк лицензия № 2374, Москва и обл.",5604,2015-02-01
"Регионфинансбанк лицензия № 3357, Москва и обл.",5536,2015-02-01
"ЦентроКредит лицензия № 121, Москва и обл.",5458,2015-02-01
"Национальный Банк Сбережений лицензия № 1949, Ивановская обл.",5418,2015-02-01
"Проминвестбанк лицензия № 2433, Москва и обл.",5362,2015-02-01
"Финтрастбанк лицензия № 3104, Москва и обл.",5319,2015-02-01
"Юнистрим лицензия № 3467, Москва и обл.",5314,2015-02-01
"Тольяттихимбанк лицензия № 2507, Самарская обл.",5298,2015-02-01
"Национальный Резервный Банк лицензия № 2170, Москва и обл.",5219,2015-02-01
"ГПБ-Ипотека лицензия № 2403, Москва и обл.",5028,2015-02-01
"Финарс Банк лицензия № 2938, Москва и обл.",5028,2015-02-01
"Развитие-Столица лицензия № 3013, Москва и обл.",4997,2015-02-01
"Ипозембанк лицензия № 3026, Самарская обл.",4924,2015-02-01
"Лада-Кредит лицензия № 2668, Москва и обл.",4865,2015-02-01
"Связной Банк лицензия № 1961, Москва и обл.",4794,2015-02-01
"Банк БЦК-Москва лицензия № 3480, Москва и обл.",4773,2015-02-01
"МГБ лицензия № 2866, Дагестан",4721,2015-02-01
"Рост Банк лицензия № 2888, Москва и обл.",4646,2015-02-01
"Зеленокумская лицензия № 1239, Ставропольский край",4541,2015-02-01
"Идеалбанк лицензия № 3491, Москва и обл.",4510,2015-02-01
"Межрегиональный Клиринговый Банк лицензия № 2543, Москва и обл.",4442,2015-02-01
"НКБ лицензия № 2942, Калмыкия",4437,2015-02-01
"Финансово-Промышленный Капитал лицензия № 3295, Москва и обл.",4420,2015-02-01
"Новый Промышленный Банк лицензия № 930, Москва и обл.",4408,2015-02-01
"Плато-Банк лицензия № 2071, Свердловская обл.",4390,2015-02-01
"Современные Стандарты Бизнеса лицензия № 3397, Москва и обл.",4304,2015-02-01
"Система лицензия № 2846, Москва и обл.",4143,2015-02-01
"БайкалИнвестБанк лицензия № 1067, Иркутская обл.",4107,2015-02-01
"Сити Инвест Банк лицензия № 3194, Санкт-Петербург и обл.",4096,2015-02-01
"Алеф-Банк лицензия № 2119, Москва и обл.",3945,2015-02-01
"ИР-Кредит лицензия № 1724, Москва и обл.",3813,2015-02-01
"Вест лицензия № 2605, Москва и обл.",3812,2015-02-01
"КОР лицензия № 2148, Волгоградская обл.",3810,2015-02-01
"НСТ-Банк лицензия № 1738, Оренбургская обл.",3779,2015-02-01
"ФДБ лицензия № 3071, Москва и обл.",3766,2015-02-01
"Банк РМП лицензия № 2574, Москва и обл.",3634,2015-02-01
"Северо-Восточный Альянс лицензия № 2768, Москва и обл.",3556,2015-02-01
"Майма лицензия № 1037, Москва и обл.",3503,2015-02-01
"Старый Кремль лицензия № 2657, Москва и обл.",3498,2015-02-01
"Кубаньторгбанк лицензия № 478, Краснодарский край",3398,2015-02-01
"Нальчик лицензия № 695, Кабардино-Балкария",3390,2015-02-01
"Синергия лицензия № 2884, Саратовская обл.",3374,2015-02-01
"Азимут лицензия № 3154, Москва и обл.",3357,2015-02-01
"РусьРегионБанк лицензия № 685, Москва и обл.",3343,2015-02-01
"Консервативный Коммерческий Банк лицензия № 1087, Астраханская обл.",3202,2015-02-01
"НОКССбанк лицензия № 3202, Волгоградская обл.",3196,2015-02-01
"Объединенный Национальный Банк лицензия № 2074, Нижегородская обл.",3171,2015-02-01
