Лицензия_банк,ИД_1300,дата
"Санкт-Петербургский Банк Инвестиций лицензия № 3468, Санкт-Петербург и обл.",3164,2015-02-01
"Энергобанк лицензия № 67, Татарстан",3144,2015-02-01
"Уралфинанс лицензия № 1370, Свердловская обл.",3135,2015-02-01
"Турбобанк лицензия № 3203, Санкт-Петербург и обл.",3121,2015-02-01
"РЕСО Кредит лицензия № 3450, Москва и обл.",3091,2015-02-01
"ВУЗ-Банк лицензия № 1557, Свердловская обл.",3078,2015-02-01
"Бинбанк Диджитал лицензия № 2827, Москва и обл.",3075,2015-02-01
"Республиканский Кредитный Альянс лицензия № 3017, Москва и обл.",3040,2015-02-01
"Русский Финансовый Альянс лицензия № 2035, Москва и обл.",3034,2015-02-01
"Восточный Банк лицензия № 1460, Амурская обл.",2984,2015-02-01
"Ренессанс Кредит лицензия № 3354, Москва и обл.",2967,2015-02-01
"Международный Расчетный Банк лицензия № 3028, Москва и обл.",2940,2015-02-01
"Промсвязьинвест лицензия № 2761, Дагестан",2918,2015-02-01
"Южный Региональный Банк лицензия № 3015, Ростовская обл.",2918,2015-02-01
"Национальный Банк «Траст» лицензия № 3279, Москва и обл.",2894,2015-02-01
"МАК-Банк лицензия № 1088, Москва и обл.",2888,2015-02-01
"УМ-Банк лицензия № 1441, Свердловская обл.",2835,2015-02-01
"Европейский Стандарт лицензия № 3200, Кабардино-Балкария",2828,2015-02-01
"Классик Эконом Банк лицензия № 3298, Северная Осетия — Алания",2828,2015-02-01
"Московский Национальный Инвестиционный Банк лицензия № 3181, Москва и обл.",2805,2015-02-01
"СБ Банк (Судостроительный банк) лицензия № 2999, Москва и обл.",2789,2015-02-01
"Еврокапитал-Альянс лицензия № 2672, Ярославская обл.",2756,2015-02-01
"Тинькофф Банк лицензия № 2673, Москва и обл.",2745,2015-02-01
"Терра лицензия № 3476, Москва и обл.",2738,2015-02-01
"Новый Кредитный Союз лицензия № 3139, Москва и обл.",2725,2015-02-01
"Солидарность (Самара) лицензия № 554, Самарская обл.",2719,2015-02-01
"Росгосстрах Банк лицензия № 3073, Москва и обл.",2718,2015-02-01
"МТС Банк лицензия № 2268, Москва и обл.",2669,2015-02-01
"Профит Банк лицензия № 3234, Москва и обл.",2645,2015-02-01
"Банкхаус Эрбе лицензия № 1717, Москва и обл.",2644,2015-02-01
"Унифондбанк лицензия № 3416, Москва и обл.",2542,2015-02-01
"Народный Инвестиционный Банк лицензия № 2876, Самарская обл.",2517,2015-02-01
"Экспресс-Волга лицензия № 3085, Саратовская обл.",2513,2015-02-01
"АМБ Банк лицензия № 3036, Москва и обл.",2508,2015-02-01
"ОТП Банк лицензия № 2766, Москва и обл.",2504,2015-02-01
"Балтика лицензия № 967, Москва и обл.",2497,2015-02-01
"Пойдем! лицензия № 2534, Москва и обл.",2492,2015-02-01
"ПИР Банк лицензия № 2655, Москва и обл.",2487,2015-02-01
"Кредо Финанс лицензия № 793, Дагестан",2436,2015-02-01
"Оргбанк лицензия № 3312, Москва и обл.",2432,2015-02-01
"ГРиС-Банк лицензия № 1928, Ставропольский край",2404,2015-02-01
"Кубанский Универсальный Банк лицензия № 2898, Краснодарский край",2389,2015-02-01
"Профессионал Банк лицензия № 2471, Москва и обл.",2377,2015-02-01
"Эльбин лицензия № 2267, Дагестан",2374,2015-02-01
"Сибнефтебанк лицензия № 385, Тюменская обл.",2348,2015-02-01
"Международный Банк Развития лицензия № 2704, Москва и обл.",2345,2015-02-01
"Бинбанк Сургут лицензия № 1701, Ханты-Мансийский АО — Югра",2334,2015-02-01
"Москоммерцбанк лицензия № 3365, Москва и обл.",2309,2015-02-01
"Балтийский Банк лицензия № 128, Санкт-Петербург и обл.",2255,2015-02-01
"Зернобанк лицензия № 2337, Алтайский край",2216,2015-02-01
"Кетовский Коммерческий Банк лицензия № 842, Курганская обл.",2172,2015-02-01
"Пробизнесбанк лицензия № 2412, Москва и обл.",2161,2015-02-01
"Нарат лицензия № 1902, Саратовская обл.",2150,2015-02-01
"Спецстройбанк лицензия № 236, Москва и обл.",2143,2015-02-01
"РБА лицензия № 3413, Москва и обл.",2128,2015-02-01
"Москва-Сити лицензия № 3247, Москва и обл.",2124,2015-02-01
"Расчетный Дом лицензия № 3350, Москва и обл.",2108,2015-02-01
"Банк МБФИ лицензия № 2073, Москва и обл.",2102,2015-02-01
"РСКБ лицензия № 2050, Москва и обл.",2102,2015-02-01
"Смартбанк лицензия № 3408, Москва и обл.",2099,2015-02-01
"Банк ВВБ лицензия № 1093, Ярославская обл.",2095,2015-02-01
"Энерготрансбанк лицензия № 1307, Калининградская обл.",2085,2015-02-01
"Газэнергобанк лицензия № 3252, Калужская обл.",2084,2015-02-01
"Идея Банк лицензия № 430, Краснодарский край",2083,2015-02-01
"Ермак лицензия № 1809, Ханты-Мансийский АО — Югра",2080,2015-02-01
"Тандем лицензия № 1951, Москва и обл.",2074,2015-02-01
"Региональный Банк Развития лицензия № 2782, Башкортостан",2061,2015-02-01
"БМ-Банк лицензия № 2748, Москва и обл.",2059,2015-02-01
"МВС Банк лицензия № 2407, Дагестан",2058,2015-02-01
"Социнвестбанк лицензия № 1132, Башкортостан",2031,2015-02-01
"Почта Банк лицензия № 650, Москва и обл.",2027,2015-02-01
"СМБ-Банк лицензия № 3504, Санкт-Петербург и обл.",2026,2015-02-01
"Дом-Банк лицензия № 3209, Москва и обл.",2018,2015-02-01
"Новый Московский Банк лицензия № 2932, Москва и обл.",1999,2015-02-01
"Континент Финанс лицензия № 149, Калужская обл.",1997,2015-02-01
"Викинг лицензия № 2, Санкт-Петербург и обл.",1994,2015-02-01
"Юниаструм Банк лицензия № 2771, Москва и обл.",1988,2015-02-01
"Гарант-Инвест лицензия № 2576, Москва и обл.",1986,2015-02-01
"Интеркредит лицензия № 3047, Москва и обл.",1983,2015-02-01
"Элита лицензия № 1399, Калужская обл.",1975,2015-02-01
"Анкор Банк лицензия № 889, Татарстан",1967,2015-02-01
"Стройлесбанк лицензия № 2995, Тюменская обл.",1961,2015-02-01
"Инвест-Экобанк лицензия № 1956, Санкт-Петербург и обл.",1958,2015-02-01
"Сельмашбанк лицензия № 106, Ростовская обл.",1947,2015-02-01
"Крокус-Банк лицензия № 2682, Москва и обл.",1931,2015-02-01
"Межрегионбанк лицензия № 1059, Москва и обл.",1930,2015-02-01
"Русский Стандарт лицензия № 2289, Москва и обл.",1928,2015-02-01
"Соколовский лицензия № 2830, Москва и обл.",1922,2015-02-01
"Тихоокеанский Внешторгбанк лицензия № 1378, Сахалинская обл.",1893,2015-02-01
"Росбизнесбанк лицензия № 1405, Москва и обл.",1883,2015-02-01
"Руссобанк лицензия № 2313, Москва и обл.",1858,2015-02-01
"Финам Банк лицензия № 2799, Москва и обл.",1838,2015-02-01
"Майский лицензия № 1673, Кабардино-Балкария",1827,2015-02-01
"Стелла-Банк лицензия № 2948, Ростовская обл.",1814,2015-02-01
"Интеркоопбанк лицензия № 2803, Москва и обл.",1812,2015-02-01
"ЕвроАксис Банк лицензия № 3273, Москва и обл.",1805,2015-02-01
"Уралприватбанк лицензия № 153, Свердловская обл.",1804,2015-02-01
"Миръ лицензия № 3089, Москва и обл.",1792,2015-02-01
"Алтайкапиталбанк лицензия № 2659, Алтайский край",1791,2015-02-01
"Автоторгбанк лицензия № 2776, Москва и обл.",1785,2015-02-01
"Вакобанк лицензия № 1291, Псковская обл.",1781,2015-02-01
"Современный Коммерческий Инновационный Банк лицензия № 3329, Костромская обл.",1779,2015-02-01
"Мико-Банк лицензия № 3195, Москва и обл.",1778,2015-02-01
"Бум-Банк лицензия № 1137, Кабардино-Балкария",1776,2015-02-01
"Объединенный Резервный Банк лицензия № 937, Москва и обл.",1772,2015-02-01
"Снежинский лицензия № 1376, Челябинская обл.",1767,2015-02-01
"Первомайский лицензия № 518, Краснодарский край",1752,2015-02-01
"Металлург лицензия № 2877, Москва и обл.",1750,2015-02-01
"Роял Кредит Банк лицензия № 783, Хабаровский край",1746,2015-02-01
"Аресбанк лицензия № 2914, Москва и обл.",1746,2015-02-01
"Еврокапитал-Альянс лицензия № 3459, Ярославская обл.",1742,2015-02-01
"Промэнергобанк лицензия № 2728, Вологодская обл.",1735,2015-02-01
"Промтрансбанк лицензия № 2638, Башкортостан",1734,2015-02-01
"ЮМК лицензия № 3495, Краснодарский край",1733,2015-02-01
"Уралтрансбанк лицензия № 812, Свердловская обл.",1712,2015-02-01
"МДМ Банк лицензия № 2562, Москва и обл.",1711,2015-02-01
"Кольцо Урала лицензия № 65, Свердловская обл.",1709,2015-02-01
"Резерв лицензия № 2364, Челябинская обл.",1706,2015-02-01
"Муниципальный Камчатпрофитбанк лицензия № 2103, Камчатская обл.",1678,2015-02-01
"Банк Развития Технологий лицензия № 3441, Москва и обл.",1673,2015-02-01
"Евромет лицензия № 2902, Москва и обл.",1672,2015-02-01
"Кедр лицензия № 1574, Красноярский край",1663,2015-02-01
"Объединенный Банк Республики лицензия № 1016, Чувашия",1659,2015-02-01
"Прио-Внешторгбанк лицензия № 212, Рязанская обл.",1652,2015-02-01
"Азиатско-Тихоокеанский Банк лицензия № 1810, Амурская обл.",1637,2015-02-01
"Россита-Банк лицензия № 3257, Москва и обл.",1632,2015-02-01
"Финансовый Стандарт лицензия № 1053, Москва и обл.",1629,2015-02-01
"Петербургский Социальный Коммерческий Банк лицензия № 2551, Санкт-Петербург и обл.",1628,2015-02-01
"Строительно-Коммерческий Банк лицензия № 3050, Санкт-Петербург и обл.",1627,2015-02-01
"Континенталь лицензия № 3184, Ставропольский край",1612,2015-02-01
"Форус Банк лицензия № 3457, Нижегородская обл.",1611,2015-02-01
"Военно-Промышленный Банк лицензия № 3065, Москва и обл.",1601,2015-02-01
"Кузнецкий Мост лицензия № 2254, Москва и обл.",1596,2015-02-01
"Тайдон лицензия № 2085, Кемеровская обл.",1589,2015-02-01
"Развитие лицензия № 2729, Карачаево-Черкесия",1586,2015-02-01
"Земкомбанк лицензия № 574, Ростовская обл.",1572,2015-02-01
"Совкомбанк лицензия № 963, Костромская обл.",1572,2015-02-01
"Аспект лицензия № 608, Москва и обл.",1570,2015-02-01
"Альта-Банк лицензия № 2269, Москва и обл.",1563,2015-02-01
"Акция лицензия № 927, Ивановская обл.",1560,2015-02-01
"Прохладный лицензия № 874, Кабардино-Балкария",1558,2015-02-01
"Апабанк лицензия № 2404, Москва и обл.",1553,2015-02-01
"Севергазбанк лицензия № 2816, Вологодская обл.",1541,2015-02-01
"Межрегиональный Почтовый Банк лицензия № 3171, Москва и обл.",1523,2015-02-01
"Хоум Кредит Банк лицензия № 316, Москва и обл.",1518,2015-02-01
"Банк Реалист (бывш. МПБ) лицензия № 2646, Москва и обл.",1512,2015-02-01
"Хованский лицензия № 2145, Москва и обл.",1508,2015-02-01
"Дорис Банк лицензия № 1679, Москва и обл.",1503,2015-02-01
"БыстроБанк лицензия № 1745, Удмуртия",1499,2015-02-01
"Невский Банк лицензия № 1068, Санкт-Петербург и обл.",1485,2015-02-01
"Холмск лицензия № 503, Сахалинская обл.",1484,2015-02-01
"Зенит Сочи лицензия № 232, Краснодарский край",1482,2015-02-01
"Финансовый Капитал лицензия № 3288, Санкт-Петербург и обл.",1481,2015-02-01
"Энтузиастбанк лицензия № 3048, Москва и обл.",1480,2015-02-01
"Примтеркомбанк лицензия № 21, Приморский край",1475,2015-02-01
"Ростфинанс лицензия № 481, Ростовская обл.",1474,2015-02-01
"Ноосфера лицензия № 2650, Республика Алтай",1473,2015-02-01
"Курган лицензия № 2568, Курганская обл.",1462,2015-02-01
"Заубер Банк лицензия № 1614, Санкт-Петербург и обл.",1456,2015-02-01
"Тульский Промышленник лицензия № 2382, Тульская обл.",1446,2015-02-01
"Океан Банк лицензия № 1697, Москва и обл.",1444,2015-02-01
"Объединенный Банк Промышленных Инвестиций лицензия № 2626, Москва и обл.",1443,2015-02-01
"Региональный Банк Сбережений лицензия № 3367, Москва и обл.",1438,2015-02-01
"Мастер-Капитал лицензия № 3011, Москва и обл.",1437,2015-02-01
"Тексбанк лицензия № 2756, Карачаево-Черкесия",1434,2015-02-01
"Газбанк лицензия № 2316, Самарская обл.",1434,2015-02-01
"Собинбанк лицензия № 1317, Москва и обл.",1428,2015-02-01
"Новое Время лицензия № 3492, Москва и обл.",1427,2015-02-01
"Авангард лицензия № 2879, Москва и обл.",1415,2015-02-01
"Белгородсоцбанк лицензия № 760, Белгородская обл.",1411,2015-02-01
"Инвестиционный Союз лицензия № 637, Москва и обл.",1403,2015-02-01
"Бинбанк Смоленск лицензия № 1957, Смоленская обл.",1396,2015-02-01
"Эксперт Банк лицензия № 2949, Омская обл.",1387,2015-02-01
"Дальневосточный Банк лицензия № 843, Приморский край",1386,2015-02-01
"Челябинвестбанк лицензия № 493, Челябинская обл.",1366,2015-02-01
"Бинбанк Мурманск лицензия № 1276, Мурманская обл.",1361,2015-02-01
"Петрокоммерц лицензия № 1776, Москва и обл.",1361,2015-02-01
"СИАБ лицензия № 3245, Санкт-Петербург и обл.",1360,2015-02-01
"Углеметбанк лицензия № 2997, Челябинская обл.",1347,2015-02-01
"Международный Коммерческий Банк лицензия № 2524, Москва и обл.",1330,2015-02-01
"Центркомбанк лицензия № 2983, Москва и обл.",1320,2015-02-01
"Банк «Советский» лицензия № 558, Санкт-Петербург и обл.",1317,2015-02-01
"Александровский лицензия № 53, Санкт-Петербург и обл.",1316,2015-02-01
"Уралпромбанк лицензия № 2964, Челябинская обл.",1306,2015-02-01
"Клиентский лицензия № 2324, Москва и обл.",1305,2015-02-01
"Регнум лицензия № 3373, Москва и обл.",1302,2015-02-01
"Великие Луки Банк лицензия № 598, Псковская обл.",1298,2015-02-01
"Аксонбанк лицензия № 680, Костромская обл.",1298,2015-02-01
"Руснарбанк лицензия № 3403, Москва и обл.",1296,2015-02-01
"Унифин лицензия № 2654, Москва и обл.",1278,2015-02-01
"Траст Капитал Банк лицензия № 2741, Москва и обл.",1277,2015-02-01
"Алма Банк лицензия № 604, Москва и обл.",1272,2015-02-01
"Оренбург лицензия № 3269, Оренбургская обл.",1270,2015-02-01
"Далетбанк лицензия № 3049, Москва и обл.",1267,2015-02-01
"Саратов лицензия № 330, Саратовская обл.",1263,2015-02-01
"МТИ-Банк лицензия № 1052, Москва и обл.",1256,2015-02-01
"ФорБанк лицензия № 2063, Москва и обл.",1256,2015-02-01
"Форштадт лицензия № 2208, Оренбургская обл.",1256,2015-02-01
"Союз лицензия № 2307, Москва и обл.",1254,2015-02-01
"Витабанк лицензия № 356, Санкт-Петербург и обл.",1254,2015-02-01
"Левобережный лицензия № 1343, Новосибирская обл.",1254,2015-02-01
"МФБанк лицензия № 3163, Москва и обл.",1253,2015-02-01
"Конфидэнс Банк лицензия № 970, Костромская обл.",1249,2015-02-01
"Русфинанс Банк лицензия № 1792, Самарская обл.",1249,2015-02-01
"Дагэнергобанк лицензия № 3286, Дагестан",1242,2015-02-01
"Норвик Банк лицензия № 902, Кировская обл.",1239,2015-02-01
"Альфа-Банк лицензия № 1326, Москва и обл.",1239,2015-02-01
"Курскпромбанк лицензия № 735, Курская обл.",1230,2015-02-01
"Выборг-Банк лицензия № 720, Санкт-Петербург и обл.",1226,2015-02-01
"Славянский Кредит лицензия № 2960, Москва и обл.",1221,2015-02-01
"Международный Акционерный Банк лицензия № 1987, Москва и обл.",1214,2015-02-01
"Джаст Банк лицензия № 3503, Москва и обл.",1213,2015-02-01
"Мосстройэкономбанк (М Банк) лицензия № 948, Москва и обл.",1213,2015-02-01
"Космос лицензия № 2245, Москва и обл.",1208,2015-02-01
"Югра лицензия № 880, Ханты-Мансийский АО — Югра",1198,2015-02-01
"СКБ-Банк лицензия № 705, Свердловская обл.",1197,2015-02-01
"МАСТ-Банк лицензия № 3267, Москва и обл.",1195,2015-02-01
"Банк РСБ 24 (Русславбанк) лицензия № 1073, Москва и обл.",1191,2015-02-01
"Российский Кредит лицензия № 324, Москва и обл.",1186,2015-02-01
"Алтынбанк лицензия № 2070, Татарстан",1185,2015-02-01
"МСП Банк лицензия № 3340, Москва и обл.",1184,2015-02-01
"Михайловский ПЖСБ лицензия № 2961, Волгоградская обл.",1180,2015-02-01
"БФГ-Кредит лицензия № 3068, Москва и обл.",1180,2015-02-01
"Уральский Банк Реконструкции и Развития лицензия № 429, Свердловская обл.",1179,2015-02-01
"Ханты-Мансийский банк Открытие лицензия № 1971, Москва и обл.",1178,2015-02-01
"ИК Банк лицензия № 1732, Татарстан",1177,2015-02-01
"Екатеринбург лицензия № 3161, Свердловская обл.",1171,2015-02-01
"1Банк лицензия № 2896, Северная Осетия — Алания",1161,2015-02-01
"Плюс Банк лицензия № 1189, Москва и обл.",1160,2015-02-01
"Верхневолжский лицензия № 1084, Ярославская обл.",1156,2015-02-01
"НК Банк лицензия № 2755, Москва и обл.",1156,2015-02-01
"Метрополь лицензия № 1639, Москва и обл.",1153,2015-02-01
"Холдинвестбанк лицензия № 2837, Москва и обл.",1152,2015-02-01
"Бэнк оф Чайна лицензия № 2309, Москва и обл.",1148,2015-02-01
"Экси-Банк лицензия № 2530, Санкт-Петербург и обл.",1147,2015-02-01
"Московский Нефтехимический Банк лицензия № 1411, Москва и обл.",1142,2015-02-01
"Гута-Банк лицензия № 256, Москва и обл.",1138,2015-02-01
"Инвесткапиталбанк лицензия № 2377, Башкортостан",1135,2015-02-01
"Арксбанк лицензия № 1868, Москва и обл.",1130,2015-02-01
"Инкаробанк лицензия № 2696, Москва и обл.",1125,2015-02-01
"Агроинкомбанк лицензия № 1946, Астраханская обл.",1123,2015-02-01
"АББ лицензия № 2937, Москва и обл.",1120,2015-02-01
"Банк Расчетов и Сбережений лицензия № 2617, Москва и обл.",1116,2015-02-01
"Автоградбанк лицензия № 1455, Татарстан",1112,2015-02-01
"Банк Раунд лицензия № 2506, Москва и обл.",1099,2015-02-01
"Ставропольпромстройбанк лицензия № 1288, Ставропольский край",1098,2015-02-01
"Байкалкредобанк лицензия № 2990, Иркутская обл.",1097,2015-02-01
"Чувашкредитпромбанк лицензия № 1280, Чувашия",1094,2015-02-01
"Флора-Москва лицензия № 533, Москва и обл.",1094,2015-02-01
"РФИ Банк лицензия № 3351, Москва и обл.",1089,2015-02-01
"Кредит Европа Банк лицензия № 3311, Москва и обл.",1084,2015-02-01
"Банк Уралсиб лицензия № 2275, Москва и обл.",1083,2015-02-01
"Москва лицензия № 1661, Москва и обл.",1081,2015-02-01
"Приморье лицензия № 3001, Приморский край",1080,2015-02-01
"Анталбанк лицензия № 3115, Москва и обл.",1078,2015-02-01
"Морской Банк лицензия № 77, Москва и обл.",1078,2015-02-01
"Олма-Банк лицензия № 3250, Москва и обл.",1065,2015-02-01
"РУБанк лицензия № 2813, Москва и обл.",1063,2015-02-01
"Максима лицензия № 3379, Москва и обл.",1062,2015-02-01
"Национальный Залоговый Банк лицензия № 2944, Москва и обл.",1058,2015-02-01
"Сибэс лицензия № 208, Омская обл.",1053,2015-02-01
"Агропромкредит лицензия № 2880, Москва и обл.",1046,2015-02-01
"Геобанк лицензия № 2027, Москва и обл.",1043,2015-02-01
"Российский Капитал лицензия № 2312, Москва и обл.",1041,2015-02-01
"Дон-Тексбанк лицензия № 1818, Ростовская обл.",1040,2015-02-01
"Тимер Банк лицензия № 1581, Татарстан",1037,2015-02-01
"Татфондбанк лицензия № 3058, Татарстан",1035,2015-02-01
"Сириус лицензия № 3506, Омская обл.",1030,2015-02-01
"Новый Век лицензия № 3417, Москва и обл.",1029,2015-02-01
"Торжокуниверсалбанк лицензия № 933, Тверская обл.",1027,2015-02-01
"Банк ИТБ лицензия № 3128, Москва и обл.",1023,2015-02-01
"Майкопбанк лицензия № 1136, Адыгея",1022,2015-02-01
"Всероссийский Банк Развития Регионов лицензия № 3287, Москва и обл.",1018,2015-02-01
"Челиндбанк лицензия № 485, Челябинская обл.",1016,2015-02-01
"Енисей лицензия № 474, Красноярский край",1016,2015-02-01
"ВТБ 24 лицензия № 1623, Москва и обл.",1014,2015-02-01
"Иваново лицензия № 1763, Ивановская обл.",1012,2015-02-01
"Рента-Банк лицензия № 3095, Москва и обл.",1011,2015-02-01
"ЕвроситиБанк лицензия № 1869, Москва и обл.",1010,2015-02-01
"Хлынов лицензия № 254, Кировская обл.",1009,2015-02-01
"Вкабанк лицензия № 1027, Астраханская обл.",1006,2015-02-01
"Меткомбанк (Череповец) лицензия № 901, Вологодская обл.",999,2015-02-01
"Преодоление лицензия № 2649, Москва и обл.",998,2015-02-01
"Руна-Банк лицензия № 3207, Москва и обл.",990,2015-02-01
"Банк Интеза лицензия № 2216, Москва и обл.",989,2015-02-01
"Нейва лицензия № 1293, Свердловская обл.",988,2015-02-01
"Век лицензия № 2299, Москва и обл.",987,2015-02-01
"Дил-Банк лицензия № 3384, Москва и обл.",981,2015-02-01
"Бинбанк лицензия № 323, Москва и обл.",980,2015-02-01
"Липецккомбанк лицензия № 1242, Липецкая обл.",978,2015-02-01
"Кроссинвестбанк лицензия № 2849, Москва и обл.",977,2015-02-01
"Энергомашбанк лицензия № 52, Санкт-Петербург и обл.",974,2015-02-01
"Зираат Банк лицензия № 2559, Москва и обл.",972,2015-02-01
"Канский лицензия № 860, Красноярский край",970,2015-02-01
"Нэклис-Банк лицензия № 1671, Москва и обл.",967,2015-02-01
"Славянбанк лицензия № 804, Новгородская обл.",964,2015-02-01
"Меткомбанк (Каменск-Уральский) лицензия № 2443, Свердловская обл.",960,2015-02-01
"НБД-Банк лицензия № 1966, Нижегородская обл.",960,2015-02-01
"Промрегионбанк лицензия № 2123, Томская обл.",959,2015-02-01
"Металлинвестбанк лицензия № 2440, Москва и обл.",957,2015-02-01
"ФИА-Банк лицензия № 2542, Самарская обл.",957,2015-02-01
"Эно лицензия № 1988, Краснодарский край",955,2015-02-01
"Кузнецкбизнесбанк лицензия № 1158, Кемеровская обл.",951,2015-02-01
"Примсоцбанк лицензия № 2733, Приморский край",950,2015-02-01
"Росбанк лицензия № 2272, Москва и обл.",946,2015-02-01
"Крона-Банк лицензия № 2499, Иркутская обл.",940,2015-02-01
"Новобанк лицензия № 1352, Новгородская обл.",939,2015-02-01
"Дружба лицензия № 990, Тюменская обл.",939,2015-02-01
"ИТ Банк лицензия № 2609, Омская обл.",934,2015-02-01
"Сургутнефтегазбанк лицензия № 588, Ханты-Мансийский АО — Югра",933,2015-02-01
"Церих лицензия № 3278, Орловская обл.",929,2015-02-01
"ЕАТП Банк лицензия № 1765, Астраханская обл.",923,2015-02-01
"Агророс лицензия № 2860, Саратовская обл.",920,2015-02-01
"Северный Народный Банк лицензия № 2721, Коми",919,2015-02-01
"Пульс Столицы лицензия № 3002, Москва и обл.",919,2015-02-01
"Возрождение лицензия № 1439, Москва и обл.",918,2015-02-01
"Таганрогбанк лицензия № 3136, Ростовская обл.",911,2015-02-01
"Россельхозбанк лицензия № 3349, Москва и обл.",911,2015-02-01
"Профессионал Банк (бывш. Наш Дом) лицензия № 3296, Москва и обл.",910,2015-02-01
"Кредитинвест лицензия № 1197, Дагестан",910,2015-02-01
"Живаго-Банк лицензия № 2065, Рязанская обл.",908,2015-02-01
"Ганзакомбанк лицензия № 1734, Санкт-Петербург и обл.",905,2015-02-01
"Логос лицензия № 3233, Москва и обл.",895,2015-02-01
"Народный Земельно-Промышленный Банк лицензия № 2873, Алтайский край",893,2015-02-01
