Лицензия_банк,ИД_200,дата
"Сбербанк России лицензия № 1481, Москва и обл.",1 151 842 564,2010-02-01
"ВТБ 24 лицензия № 1623, Москва и обл.",326 173 836,2010-02-01
"Росбанк лицензия № 2272, Москва и обл.",112 569 133,2010-02-01
"Русфинанс Банк лицензия № 1792, Самарская обл.",80 482 235,2010-02-01
"Русский Стандарт лицензия № 2289, Москва и обл.",80 235 624,2010-02-01
"БМ-Банк лицензия № 2748, Москва и обл.",74 303 365,2010-02-01
"МДМ Банк лицензия № 2562, Новосибирская обл.",73 623 216,2010-02-01
"Райффайзенбанк лицензия № 3292, Москва и обл.",71 865 114,2010-02-01
"Банк Уралсиб лицензия № 2275, Москва и обл.",69 336 118,2010-02-01
"Альфа-Банк лицензия № 1326, Москва и обл.",68 482 801,2010-02-01
"Россельхозбанк лицензия № 3349, Москва и обл.",65 074 454,2010-02-01
"Хоум Кредит Банк лицензия № 316, Москва и обл.",61 143 271,2010-02-01
"ЮниКредит Банк лицензия № 1, Москва и обл.",58 748 269,2010-02-01
"Транскредитбанк лицензия № 2142, Москва и обл.",54 249 273,2010-02-01
"Газпромбанк лицензия № 354, Москва и обл.",44 299 578,2010-02-01
"Промсвязьбанк лицензия № 3251, Москва и обл.",42 231 521,2010-02-01
"Абсолют Банк лицензия № 2306, Москва и обл.",41 423 680,2010-02-01
"ОТП Банк лицензия № 2766, Москва и обл.",38 820 487,2010-02-01
"Банк Сосьете Женераль Восток лицензия № 2295, Москва и обл.",34 580 112,2010-02-01
"Ситибанк лицензия № 2557, Москва и обл.",33 628 189,2010-02-01
"Ренессанс Кредит лицензия № 3354, Москва и обл.",32 933 368,2010-02-01
"Восточный Банк лицензия № 1460, Амурская обл.",32 401 651,2010-02-01
"Кредит Европа Банк лицензия № 3311, Москва и обл.",28 505 457,2010-02-01
"КИТ Финанс Инвестиционный Банк лицензия № 1911, Санкт-Петербург и обл.",28 434 938,2010-02-01
"Современный Коммерческий Банк (бывш. ДжиИ Мани Банк) лицензия № 3316, Москва и обл.",22 523 019,2010-02-01
"Ак Барс лицензия № 2590, Татарстан",22 123 118,2010-02-01
"Ханты-Мансийский банк Открытие лицензия № 1971, Тюменская обл.",19 707 270,2010-02-01
"Юниаструм Банк лицензия № 2771, Москва и обл.",17 891 171,2010-02-01
"Союз лицензия № 2307, Москва и обл.",16 262 569,2010-02-01
"Запсибкомбанк лицензия № 918, Тюменская обл.",15 107 928,2010-02-01
"Банк «Санкт-Петербург» лицензия № 436, Санкт-Петербург и обл.",14 974 452,2010-02-01
"Возрождение лицензия № 1439, Москва и обл.",13 867 012,2010-02-01
"Банк «ФК Открытие» лицензия № 2209, Москва и обл.",13 418 981,2010-02-01
"Национальный Банк «Траст» лицензия № 3279, Москва и обл.",13 398 981,2010-02-01
"МТС Банк лицензия № 2268, Москва и обл.",13 367 898,2010-02-01
"Пробизнесбанк лицензия № 2412, Москва и обл.",12 418 805,2010-02-01
"СКБ-Банк лицензия № 705, Свердловская обл.",12 138 066,2010-02-01
"Москоммерцбанк лицензия № 3365, Москва и обл.",11 734 237,2010-02-01
"Уральский Банк Реконструкции и Развития лицензия № 429, Свердловская обл.",11 444 556,2010-02-01
"Московский Кредитный Банк лицензия № 1978, Москва и обл.",10 078 141,2010-02-01
"Бинбанк лицензия № 323, Москва и обл.",10 005 323,2010-02-01
"Нордеа Банк лицензия № 3016, Москва и обл.",9 592 987,2010-02-01
