Лицензия_банк,ИД_1700,дата
"Центркомбанк лицензия № 2983, Москва и обл.",37169,2015-02-01
"Мираф-Банк лицензия № 2244, Омская обл.",36416,2015-02-01
"БайкалИнвестБанк лицензия № 1067, Иркутская обл.",35810,2015-02-01
"Лада-Кредит лицензия № 2668, Москва и обл.",35345,2015-02-01
"Еврокапитал-Альянс лицензия № 2672, Ярославская обл.",35049,2015-02-01
"Межрегиональный Банк Реконструкции лицензия № 2620, Москва и обл.",35040,2015-02-01
"Почтобанк лицензия № 1788, Пермская обл.",34680,2015-02-01
"Левобережный лицензия № 1343, Новосибирская обл.",34341,2015-02-01
"Бинбанк Тверь лицензия № 777, Тверская обл.",34155,2015-02-01
"Информпрогресс лицензия № 2166, Москва и обл.",33698,2015-02-01
"Фольксваген Банк Рус лицензия № 3500, Москва и обл.",33355,2015-02-01
"Почта Банк лицензия № 650, Москва и обл.",33275,2015-02-01
"Банк Кредит Свисс лицензия № 2494, Москва и обл.",33088,2015-02-01
"НСТ-Банк лицензия № 1738, Оренбургская обл.",32967,2015-02-01
"Дорис Банк лицензия № 1679, Москва и обл.",32902,2015-02-01
"Радиотехбанк лицензия № 1166, Нижегородская обл.",32898,2015-02-01
"Прио-Внешторгбанк лицензия № 212, Рязанская обл.",32833,2015-02-01
"Актив Банк лицензия № 2529, Мордовия",32830,2015-02-01
"Таганрогбанк лицензия № 3136, Ростовская обл.",31995,2015-02-01
"Классик Эконом Банк лицензия № 3298, Северная Осетия — Алания",31753,2015-02-01
"Центрально-Азиатский лицензия № 3037, Хакасия",30886,2015-02-01
"Евразийский Банк лицензия № 969, Москва и обл.",29665,2015-02-01
"Телекоммерц Банк лицензия № 3380, Тульская обл.",29532,2015-02-01
"Нейва лицензия № 1293, Свердловская обл.",29453,2015-02-01
"Банк БЦК-Москва лицензия № 3480, Москва и обл.",29211,2015-02-01
"Челиндбанк лицензия № 485, Челябинская обл.",28972,2015-02-01
"Миръ лицензия № 3089, Москва и обл.",28968,2015-02-01
"Акцепт лицензия № 567, Новосибирская обл.",28485,2015-02-01
"Национальный Банк «Траст» лицензия № 3279, Москва и обл.",28378,2015-02-01
"Финансовый Стандарт лицензия № 1053, Москва и обл.",27639,2015-02-01
"Альтернатива лицензия № 3452, Москва и обл.",27421,2015-02-01
"Плато-Банк лицензия № 2071, Свердловская обл.",27042,2015-02-01
"Банк Жилищного Финансирования лицензия № 3138, Москва и обл.",26969,2015-02-01
"Центр-инвест лицензия № 2225, Ростовская обл.",26643,2015-02-01
"Уралприватбанк лицензия № 153, Свердловская обл.",26591,2015-02-01
"Констанс-Банк лицензия № 2228, Санкт-Петербург и обл.",26431,2015-02-01
"Новокиб лицензия № 1747, Кемеровская обл.",26421,2015-02-01
"Континенталь лицензия № 3184, Ставропольский край",26050,2015-02-01
"Кредо Финанс лицензия № 793, Дагестан",26018,2015-02-01
"Капитал лицензия № 575, Москва и обл.",25948,2015-02-01
"ВостСибтранскомбанк лицензия № 2731, Иркутская обл.",25881,2015-02-01
"Клиентский лицензия № 2324, Москва и обл.",25782,2015-02-01
"Уралкапиталбанк лицензия № 2519, Башкортостан",25508,2015-02-01
"Мострансбанк лицензия № 2258, Москва и обл.",25483,2015-02-01
"Национальный Резервный Банк лицензия № 2170, Москва и обл.",25405,2015-02-01
"Сумитомо Мицуи лицензия № 3494, Москва и обл.",25323,2015-02-01
"Нордеа Банк лицензия № 3016, Москва и обл.",25105,2015-02-01
"Солидарность (Москва) лицензия № 1555, Москва и обл.",24884,2015-02-01
"Дальневосточный Банк лицензия № 843, Приморский край",24818,2015-02-01
"Московский Индустриальный Банк лицензия № 912, Москва и обл.",24638,2015-02-01
"Регионфинансбанк лицензия № 3357, Москва и обл.",24419,2015-02-01
"Бенифит-Банк лицензия № 3229, Москва и обл.",24328,2015-02-01
"Норвик Банк лицензия № 902, Кировская обл.",24315,2015-02-01
"Промрегионбанк лицензия № 2123, Томская обл.",24089,2015-02-01
"Снежинский лицензия № 1376, Челябинская обл.",24040,2015-02-01
"Мерседес-Бенц Банк Рус лицензия № 3473, Москва и обл.",24027,2015-02-01
"Хакасский Муниципальный Банк лицензия № 1049, Хакасия",23639,2015-02-01
"Прохладный лицензия № 874, Кабардино-Балкария",23309,2015-02-01
"ПартнерКапиталБанк (бывш. НоваховКапиталБанк) лицензия № 635, Москва и обл.",23166,2015-02-01
"Лэнд-Банк лицензия № 1478, Москва и обл.",23101,2015-02-01
"Запсибкомбанк лицензия № 918, Тюменская обл.",22970,2015-02-01
"ИТ Банк лицензия № 2609, Омская обл.",22836,2015-02-01
"Газтрансбанк лицензия № 665, Адыгея",22617,2015-02-01
"КС Банк лицензия № 1752, Мордовия",22397,2015-02-01
"Мир Бизнес Банк лицензия № 3396, Москва и обл.",22111,2015-02-01
"Уралпромбанк лицензия № 2964, Челябинская обл.",22026,2015-02-01
"Акрополь лицензия № 3027, Москва и обл.",21866,2015-02-01
"Тусар лицензия № 2712, Москва и обл.",21387,2015-02-01
"Ставропольпромстройбанк лицензия № 1288, Ставропольский край",21380,2015-02-01
"Сургутнефтегазбанк лицензия № 588, Ханты-Мансийский АО — Югра",21288,2015-02-01
"Банкхаус Эрбе лицензия № 1717, Москва и обл.",21184,2015-02-01
"Великие Луки Банк лицензия № 598, Псковская обл.",21182,2015-02-01
"РосинтерБанк лицензия № 226, Москва и обл.",21017,2015-02-01
"Межрегиональный промышленно-строительный банк лицензия № 752, Мордовия",21016,2015-02-01
"Всероссийский Банк Развития Регионов лицензия № 3287, Москва и обл.",20962,2015-02-01
"Тимер Банк лицензия № 1581, Татарстан",20881,2015-02-01
"АМБ Банк лицензия № 3036, Москва и обл.",20593,2015-02-01
"Южный Региональный Банк лицензия № 3015, Ростовская обл.",20312,2015-02-01
"Бинбанк лицензия № 323, Москва и обл.",20294,2015-02-01
"Приморье лицензия № 3001, Приморский край",20122,2015-02-01
"Примсоцбанк лицензия № 2733, Приморский край",20103,2015-02-01
"ВТБ 24 лицензия № 1623, Москва и обл.",20092,2015-02-01
"Томскпромстройбанк лицензия № 1720, Томская обл.",20083,2015-02-01
"ГринКомБанк лицензия № 1184, Иркутская обл.",20044,2015-02-01
"Финпромбанк (ФПБ Банк) лицензия № 2157, Москва и обл.",19902,2015-02-01
"Далта-Банк лицензия № 142, Приморский край",19676,2015-02-01
"Межтопэнергобанк лицензия № 2956, Москва и обл.",19665,2015-02-01
"Пересвет лицензия № 2110, Москва и обл.",19535,2015-02-01
"ТЭМБР-Банк лицензия № 2764, Москва и обл.",19086,2015-02-01
"Алмазэргиэнбанк лицензия № 2602, Саха (Якутия)",18985,2015-02-01
"ПИР Банк лицензия № 2655, Москва и обл.",18951,2015-02-01
"Роспромбанк лицензия № 3204, Москва и обл.",18902,2015-02-01
"Народный Инвестиционный Банк лицензия № 2876, Самарская обл.",18887,2015-02-01
"Солидарность (Самара) лицензия № 554, Самарская обл.",18831,2015-02-01
"Московский Кредитный Банк лицензия № 1978, Москва и обл.",18523,2015-02-01
"Транспортный лицензия № 3174, Москва и обл.",18515,2015-02-01
"Банк РМП лицензия № 2574, Москва и обл.",18469,2015-02-01
"Верхневолжский лицензия № 1084, Ярославская обл.",18332,2015-02-01
"Кузбассхимбанк лицензия № 2868, Кемеровская обл.",18181,2015-02-01
"Межрегионбанк лицензия № 1059, Москва и обл.",18041,2015-02-01
"Смолевич лицензия № 1121, Смоленская обл.",18008,2015-02-01
"ДельтаКредит лицензия № 3338, Москва и обл.",17988,2015-02-01
"Народный Земельно-Промышленный Банк лицензия № 2873, Алтайский край",17922,2015-02-01
"Вологжанин лицензия № 1896, Вологодская обл.",17898,2015-02-01
"Рента-Банк лицензия № 3095, Москва и обл.",17705,2015-02-01
"Эко-Инвест лицензия № 3116, Москва и обл.",17597,2015-02-01
"Бинбанк Диджитал лицензия № 2827, Москва и обл.",17431,2015-02-01
"Олма-Банк лицензия № 3250, Москва и обл.",17159,2015-02-01
"Рост Банк лицензия № 2888, Москва и обл.",17140,2015-02-01
"Банк Уралсиб лицензия № 2275, Москва и обл.",17137,2015-02-01
"Спецстройбанк лицензия № 236, Москва и обл.",17117,2015-02-01
"Плюс Банк лицензия № 1189, Москва и обл.",17028,2015-02-01
"Спутник лицензия № 1071, Оренбургская обл.",16971,2015-02-01
"Резерв лицензия № 2364, Челябинская обл.",16864,2015-02-01
"Сибэс лицензия № 208, Омская обл.",16790,2015-02-01
"АлтайБизнес-Банк лицензия № 2388, Алтайский край",16700,2015-02-01
"МАСТ-Банк лицензия № 3267, Москва и обл.",16700,2015-02-01
"Уралтрансбанк лицензия № 812, Свердловская обл.",16464,2015-02-01
"Муниципальный Камчатпрофитбанк лицензия № 2103, Камчатская обл.",16396,2015-02-01
"Михайловский ПЖСБ лицензия № 2961, Волгоградская обл.",16340,2015-02-01
"РН Банк лицензия № 170, Москва и обл.",16281,2015-02-01
"Тинькофф Банк лицензия № 2673, Москва и обл.",16091,2015-02-01
"ТЭСТ лицензия № 3440, Москва и обл.",16070,2015-02-01
"Торжокуниверсалбанк лицензия № 933, Тверская обл.",15957,2015-02-01
"Енисейский Объединенный Банк лицензия № 2645, Красноярский край",15949,2015-02-01
"Росавтобанк лицензия № 2767, Москва и обл.",15931,2015-02-01
"Профессионал Банк (бывш. Наш Дом) лицензия № 3296, Москва и обл.",15852,2015-02-01
"Азиатско-Тихоокеанский Банк лицензия № 1810, Амурская обл.",15848,2015-02-01
"Торговый Городской Банк лицензия № 3180, Тверская обл.",15774,2015-02-01
"Хованский лицензия № 2145, Москва и обл.",15736,2015-02-01
"Земский Банк лицензия № 2900, Самарская обл.",15609,2015-02-01
"Внешфинбанк лицензия № 3173, Краснодарский край",15565,2015-02-01
"Логос лицензия № 3233, Москва и обл.",15317,2015-02-01
"Тойота Банк лицензия № 3470, Москва и обл.",15291,2015-02-01
"СтарБанк лицензия № 548, Москва и обл.",15196,2015-02-01
"Северо-Западный 1 Альянс Банк лицензия № 766, Санкт-Петербург и обл.",15141,2015-02-01
"Байкалкредобанк лицензия № 2990, Иркутская обл.",15090,2015-02-01
"Москва лицензия № 1661, Москва и обл.",15090,2015-02-01
"Русстройбанк лицензия № 3205, Москва и обл.",15075,2015-02-01
"Банк Агора лицензия № 3231, Москва и обл.",15021,2015-02-01
"Севзапинвестпромбанк лицензия № 2152, Санкт-Петербург и обл.",14965,2015-02-01
"Восточно-Европейский Трастовый Банк лицензия № 2253, Москва и обл.",14897,2015-02-01
"Алжан лицензия № 2491, Дагестан",14761,2015-02-01
"Национальный Корпоративный Банк лицензия № 3422, Москва и обл.",14720,2015-02-01
"Капиталбанк лицензия № 2547, Ростовская обл.",14572,2015-02-01
"Крыловский лицензия № 456, Краснодарский край",14558,2015-02-01
"РусЮгбанк лицензия № 2093, Волгоградская обл.",14493,2015-02-01
"Роял Кредит Банк лицензия № 783, Хабаровский край",14489,2015-02-01
"Русский Национальный Банк лицензия № 469, Ростовская обл.",14418,2015-02-01
"Геобанк лицензия № 2027, Москва и обл.",14391,2015-02-01
"Липецккомбанк лицензия № 1242, Липецкая обл.",14343,2015-02-01
"ЦентроКредит лицензия № 121, Москва и обл.",14312,2015-02-01
"Таатта лицензия № 1249, Саха (Якутия)",14298,2015-02-01
"Еврокредит лицензия № 2957, Москва и обл.",14256,2015-02-01
"Инвестиционный Республиканский Банк лицензия № 2571, Москва и обл.",14215,2015-02-01
"Тальменка-Банк лицензия № 826, Алтайский край",14158,2015-02-01
"ИРС лицензия № 272, Москва и обл.",14072,2015-02-01
"Центрально-Европейский Банк лицензия № 2670, Москва и обл.",14057,2015-02-01
"Финтрастбанк лицензия № 3104, Москва и обл.",14053,2015-02-01
"ГРиС-Банк лицензия № 1928, Ставропольский край",14024,2015-02-01
"Кредит Урал Банк лицензия № 2584, Челябинская обл.",14014,2015-02-01
"Стройлесбанк лицензия № 2995, Тюменская обл.",13960,2015-02-01
"Межрегиональный Почтовый Банк лицензия № 3171, Москва и обл.",13805,2015-02-01
"Банк ИТБ лицензия № 3128, Москва и обл.",13775,2015-02-01
"МАК-Банк лицензия № 1088, Москва и обл.",13753,2015-02-01
"Руна-Банк лицензия № 3207, Москва и обл.",13714,2015-02-01
"Взаимодействие лицензия № 1704, Новосибирская обл.",13686,2015-02-01
"Кредитинвест лицензия № 1197, Дагестан",13598,2015-02-01
"Внешпромбанк лицензия № 3261, Москва и обл.",13425,2015-02-01
"Газэнергобанк лицензия № 3252, Калужская обл.",13363,2015-02-01
"Инвестторгбанк лицензия № 2763, Москва и обл.",13363,2015-02-01
"Интеркоммерц Банк лицензия № 1657, Москва и обл.",13309,2015-02-01
"Банк «Советский» лицензия № 558, Санкт-Петербург и обл.",13308,2015-02-01
"Булгар Банк лицензия № 1917, Татарстан",13225,2015-02-01
"Интеркоопбанк лицензия № 2803, Москва и обл.",13171,2015-02-01
"Денизбанк Москва лицензия № 3330, Москва и обл.",13092,2015-02-01
"Тендер-Банк лицензия № 2252, Москва и обл.",13065,2015-02-01
"Долинск лицензия № 857, Сахалинская обл.",13059,2015-02-01
"Расчетно-Кредитный Банк лицензия № 103, Москва и обл.",13057,2015-02-01
"Русфинанс Банк лицензия № 1792, Самарская обл.",13039,2015-02-01
"Банк АВБ лицензия № 23, Самарская обл.",12997,2015-02-01
"БНП Париба Банк лицензия № 3407, Москва и обл.",12996,2015-02-01
"Кетовский Коммерческий Банк лицензия № 842, Курганская обл.",12882,2015-02-01
"Генбанк лицензия № 2490, Москва и обл.",12867,2015-02-01
"Сбербанк России лицензия № 1481, Москва и обл.",12834,2015-02-01
"Братский АНКБ лицензия № 1144, Иркутская обл.",12707,2015-02-01
"ЮМК лицензия № 3495, Краснодарский край",12706,2015-02-01
"Проинвестбанк лицензия № 784, Пермская обл.",12604,2015-02-01
"Еврокапитал-Альянс лицензия № 3459, Ярославская обл.",12486,2015-02-01
"Межтрастбанк лицензия № 2493, Москва и обл.",12459,2015-02-01
"Балаково-Банк лицензия № 444, Саратовская обл.",12428,2015-02-01
"Профессионал Банк лицензия № 2471, Москва и обл.",12379,2015-02-01
"Международный Расчетный Банк лицензия № 3028, Москва и обл.",12350,2015-02-01
"КОР лицензия № 2148, Волгоградская обл.",12329,2015-02-01
"Альфа-Банк лицензия № 1326, Москва и обл.",12282,2015-02-01
"Кроссинвестбанк лицензия № 2849, Москва и обл.",12281,2015-02-01
"Республиканский Кредитный Альянс лицензия № 3017, Москва и обл.",12241,2015-02-01
"Славия лицензия № 2664, Москва и обл.",12240,2015-02-01
"Банк Финсервис лицензия № 3388, Москва и обл.",12142,2015-02-01
"Содружество лицензия № 2923, Москва и обл.",12041,2015-02-01
"Холдинвестбанк лицензия № 2837, Москва и обл.",12017,2015-02-01
"Чайна Констракшн лицензия № 3515, Москва и обл.",12013,2015-02-01
"Курскпромбанк лицензия № 735, Курская обл.",11945,2015-02-01
"Заубер Банк лицензия № 1614, Санкт-Петербург и обл.",11938,2015-02-01
"ОПМ-Банк лицензия № 2734, Москва и обл.",11937,2015-02-01
"Владпромбанк лицензия № 870, Владимирская обл.",11923,2015-02-01
"Бинбанк Столица лицензия № 3052, Москва и обл.",11884,2015-02-01
"Берейт лицензия № 3505, Санкт-Петербург и обл.",11836,2015-02-01
"Объединенный Национальный Банк лицензия № 2074, Нижегородская обл.",11797,2015-02-01
"Вокбанк лицензия № 312, Нижегородская обл.",11770,2015-02-01
"Уральский Банк Реконструкции и Развития лицензия № 429, Свердловская обл.",11755,2015-02-01
"Международный Банк Санкт-Петербурга (МБСП) лицензия № 197, Санкт-Петербург и обл.",11740,2015-02-01
"Первомайский лицензия № 518, Краснодарский край",11706,2015-02-01
"Экспобанк лицензия № 2998, Москва и обл.",11693,2015-02-01
"Кедр лицензия № 1574, Красноярский край",11681,2015-02-01
"Зенит Сочи лицензия № 232, Краснодарский край",11663,2015-02-01
"Идеалбанк лицензия № 3491, Москва и обл.",11646,2015-02-01
"Мосуралбанк лицензия № 2468, Москва и обл.",11540,2015-02-01
"Тройка-Д Банк лицензия № 3431, Москва и обл.",11520,2015-02-01
"Юниаструм Банк лицензия № 2771, Москва и обл.",11453,2015-02-01
"Экспо Финанс лицензия № 2594, Москва и обл.",11449,2015-02-01
"Банк МБФИ лицензия № 2073, Москва и обл.",11444,2015-02-01
"Метрополь лицензия № 1639, Москва и обл.",11376,2015-02-01
"Крокус-Банк лицензия № 2682, Москва и обл.",11369,2015-02-01
"МС Банк Рус лицензия № 2789, Москва и обл.",11323,2015-02-01
"Фора-Банк лицензия № 1885, Москва и обл.",11322,2015-02-01
"Инвестсоцбанк лицензия № 3010, Москва и обл.",11309,2015-02-01
"Кемсоцинбанк лицензия № 96, Кемеровская обл.",11241,2015-02-01
"Нижневолжский Коммерческий Банк лицензия № 931, Саратовская обл.",11220,2015-02-01
"Курган лицензия № 2568, Курганская обл.",11192,2015-02-01
"Промсвязьинвест лицензия № 2761, Дагестан",11188,2015-02-01
"Система лицензия № 2846, Москва и обл.",11154,2015-02-01
"Русский Банк Сбережений лицензия № 779, Ставропольский край",11094,2015-02-01
"Славянский Кредит лицензия № 2960, Москва и обл.",11047,2015-02-01
"Консервативный Коммерческий Банк лицензия № 1087, Астраханская обл.",11045,2015-02-01
"Екатерининский лицензия № 2167, Москва и обл.",11009,2015-02-01
"Региональный Коммерческий Банк лицензия № 836, Ульяновская обл.",10963,2015-02-01
"Югра лицензия № 880, Ханты-Мансийский АО — Югра",10956,2015-02-01
"Металлинвестбанк лицензия № 2440, Москва и обл.",10929,2015-02-01
"Дом-Банк лицензия № 3209, Москва и обл.",10925,2015-02-01
"Международный Коммерческий Банк лицензия № 2524, Москва и обл.",10897,2015-02-01
"Ури Банк лицензия № 3479, Москва и обл.",10883,2015-02-01
"Кремлевский лицензия № 2905, Москва и обл.",10870,2015-02-01
"Азия-Инвест Банк лицензия № 3303, Москва и обл.",10867,2015-02-01
"Агросоюз лицензия № 1459, Москва и обл.",10860,2015-02-01
"Первоуральскбанк лицензия № 965, Свердловская обл.",10852,2015-02-01
"Эйч-Эс-Би-Си Банк (HSBC) лицензия № 3290, Москва и обл.",10838,2015-02-01
"Дон-Тексбанк лицензия № 1818, Ростовская обл.",10833,2015-02-01
"Нальчик лицензия № 695, Кабардино-Балкария",10771,2015-02-01
"Славянбанк лицензия № 804, Новгородская обл.",10753,2015-02-01
"Финансово-Промышленный Капитал лицензия № 3295, Москва и обл.",10689,2015-02-01
"Крона-Банк лицензия № 2499, Иркутская обл.",10656,2015-02-01
"Ситибанк лицензия № 2557, Москва и обл.",10625,2015-02-01
"Международный Строительный Банк лицензия № 3484, Москва и обл.",10612,2015-02-01
"БайкалБанк лицензия № 2632, Бурятия",10610,2015-02-01
"Кросна-Банк лицензия № 2607, Москва и обл.",10602,2015-02-01
"Холмск лицензия № 503, Сахалинская обл.",10586,2015-02-01
"МТС Банк лицензия № 2268, Москва и обл.",10582,2015-02-01
"Евроальянс лицензия № 1781, Ивановская обл.",10577,2015-02-01
"Зираат Банк лицензия № 2559, Москва и обл.",10565,2015-02-01
"НОКССбанк лицензия № 3202, Волгоградская обл.",10556,2015-02-01
"Венец лицензия № 524, Ульяновская обл.",10555,2015-02-01
"Синергия лицензия № 2884, Саратовская обл.",10515,2015-02-01
"Банк Премьер Кредит лицензия № 1663, Москва и обл.",10498,2015-02-01
"Руснарбанк лицензия № 3403, Москва и обл.",10488,2015-02-01
"Нацинвестпромбанк лицензия № 3077, Москва и обл.",10486,2015-02-01
"Социум-Банк лицензия № 2881, Москва и обл.",10484,2015-02-01
"Российская Финансовая Корпорация лицензия № 3099, Москва и обл.",10481,2015-02-01
"Азия Банк лицензия № 3183, Москва и обл.",10477,2015-02-01
"БСТ-Банк лицензия № 2883, Кемеровская обл.",10476,2015-02-01
"Мико-Банк лицензия № 3195, Москва и обл.",10474,2015-02-01
"Банк РСИ лицензия № 3415, Москва и обл.",10461,2015-02-01
"Промэнергобанк лицензия № 2728, Вологодская обл.",10425,2015-02-01
"1Банк лицензия № 2896, Северная Осетия — Алания",10391,2015-02-01
"Коммерцбанк (Евразия) лицензия № 3333, Москва и обл.",10371,2015-02-01
"Саммит Банк лицензия № 85, Приморский край",10356,2015-02-01
"РЕСО Кредит лицензия № 3450, Москва и обл.",10328,2015-02-01
"Оргбанк лицензия № 3312, Москва и обл.",10282,2015-02-01
"Акция лицензия № 927, Ивановская обл.",10256,2015-02-01
"РУБанк лицензия № 2813, Москва и обл.",10256,2015-02-01
"Кубаньторгбанк лицензия № 478, Краснодарский край",10138,2015-02-01
"Ассоциация лицензия № 732, Нижегородская обл.",10132,2015-02-01
"МДМ Банк лицензия № 2562, Москва и обл.",10129,2015-02-01
"ГПБ-Ипотека лицензия № 2403, Москва и обл.",10124,2015-02-01
"Темпбанк лицензия № 55, Москва и обл.",10087,2015-02-01
"Майкопбанк лицензия № 1136, Адыгея",10084,2015-02-01
"Банк Инноваций и Развития лицензия № 2647, Москва и обл.",10022,2015-02-01
"Ростфинанс лицензия № 481, Ростовская обл.",10016,2015-02-01
"Ренессанс лицензия № 1939, Москва и обл.",10013,2015-02-01
"Богородский лицензия № 1277, Нижегородская обл.",9986,2015-02-01
"Совкомбанк лицензия № 963, Костромская обл.",9889,2015-02-01
"Лесбанк лицензия № 1598, Москва и обл.",9877,2015-02-01
"Жилстройбанк лицензия № 2769, Москва и обл.",9868,2015-02-01
"Металлург лицензия № 2877, Москва и обл.",9860,2015-02-01
"Приско Капитал Банк лицензия № 2537, Москва и обл.",9847,2015-02-01
"Вкабанк лицензия № 1027, Астраханская обл.",9846,2015-02-01
"Белгородсоцбанк лицензия № 760, Белгородская обл.",9843,2015-02-01
"РБА лицензия № 3413, Москва и обл.",9836,2015-02-01
"РТС-Банк лицензия № 3401, Самарская обл.",9759,2015-02-01
"Кубань Кредит лицензия № 2518, Краснодарский край",9747,2015-02-01
"Стандарт-Кредит лицензия № 841, Адыгея",9742,2015-02-01
"Прокоммерцбанк лицензия № 2996, Москва и обл.",9709,2015-02-01
"Европейский Стандарт лицензия № 3200, Кабардино-Балкария",9688,2015-02-01
"Россита-Банк лицензия № 3257, Москва и обл.",9665,2015-02-01
"Спиритбанк лицензия № 2053, Тульская обл.",9659,2015-02-01
"Московский Коммерческий Банк лицензия № 3172, Москва и обл.",9651,2015-02-01
"Русский Международный Банк лицензия № 3123, Москва и обл.",9638,2015-02-01
"Дружба лицензия № 990, Тюменская обл.",9620,2015-02-01
"Милбанк лицензия № 3256, Москва и обл.",9616,2015-02-01
"Ипозембанк лицензия № 3026, Самарская обл.",9604,2015-02-01
"ИК Банк лицензия № 1732, Татарстан",9597,2015-02-01
"Ханты-Мансийский банк Открытие лицензия № 1971, Москва и обл.",9596,2015-02-01
"Экономикс-Банк лицензия № 2136, Москва и обл.",9586,2015-02-01
"Северо-Восточный Альянс лицензия № 2768, Москва и обл.",9565,2015-02-01
"Бинбанк Сургут лицензия № 1701, Ханты-Мансийский АО — Югра",9559,2015-02-01
"Эргобанк лицензия № 2856, Москва и обл.",9482,2015-02-01
"Московское Ипотечное Агентство лицензия № 3344, Москва и обл.",9481,2015-02-01
"Народный Банк Тувы лицензия № 1309, Тыва",9481,2015-02-01
"Ресурс-Траст лицензия № 3122, Москва и обл.",9443,2015-02-01
"Росбанк лицензия № 2272, Москва и обл.",9434,2015-02-01
"Мурманский Социальный Коммерческий Банк лицензия № 2722, Мурманская обл.",9408,2015-02-01
"Юг-Инвестбанк лицензия № 2772, Краснодарский край",9395,2015-02-01
"ОТП Банк лицензия № 2766, Москва и обл.",9362,2015-02-01
"Дойче Банк лицензия № 3328, Москва и обл.",9344,2015-02-01
"Аресбанк лицензия № 2914, Москва и обл.",9340,2015-02-01
"Банк Раунд лицензия № 2506, Москва и обл.",9338,2015-02-01
