Лицензия_банк,ИД_1700,дата
"Голдман Сакс Банк лицензия № 3490, Москва и обл.","99 999 999,99",2015-02-01
"Икано Банк лицензия № 3519, Центр","62 026,92",2015-02-01
"Рунэтбанк лицензия № 2829, Москва и обл.","6 875,79",2015-02-01
"Ренессанс Кредит лицензия № 3354, Москва и обл.","2 073,83",2015-02-01
"ФФин Банк лицензия № 1143, Сахалинская обл.","2 042,01",2015-02-01
"Тайдон лицензия № 2085, Кемеровская обл.","1 845,45",2015-02-01
"Оренбург лицензия № 3269, Оренбургская обл.","1 575,21",2015-02-01
"Кузнецкбизнесбанк лицензия № 1158, Кемеровская обл.","1 230,81",2015-02-01
"Банк ПСА Финанс Рус лицензия № 3481, Москва и обл.","1 194,43",2015-02-01
"Форус Банк лицензия № 3457, Нижегородская обл.","1 191,60",2015-02-01
"Сургутский Центральный Коммерческий Банк лицензия № 684, Ханты-Мансийский АО — Югра","1 175,52",2015-02-01
"НКБ лицензия № 2942, Калмыкия","1 100,98",2015-02-01
"Арксбанк лицензия № 1868, Москва и обл.","1 098,54",2015-02-01
"Нарат лицензия № 1902, Саратовская обл.","1 031,01",2015-02-01
"Северстройбанк лицензия № 3507, Вологодская обл.","1 030,60",2015-02-01
"БМВ Банк лицензия № 3482, Москва и обл.","1 020,32",2015-02-01
"Майма лицензия № 1037, Москва и обл.",90889,2015-02-01
"Ю Би Эс Банк лицензия № 3463, Москва и обл.",89982,2015-02-01
"Гагаринский лицензия № 606, Москва и обл.",83366,2015-02-01
"Росэксимбанк лицензия № 2790, Москва и обл.",80074,2015-02-01
"Иваново лицензия № 1763, Ивановская обл.",71470,2015-02-01
"Банк Сберегательно-кредитного сервиса лицензия № 3224, Москва и обл.",70837,2015-02-01
"Эно лицензия № 1988, Краснодарский край",70794,2015-02-01
"Бинбанк Смоленск лицензия № 1957, Смоленская обл.",70522,2015-02-01
"Бинбанк Мурманск лицензия № 1276, Мурманская обл.",66613,2015-02-01
"К2 Банк лицензия № 2851, Карачаево-Черкесия",64357,2015-02-01
"Екатеринбург лицензия № 3161, Свердловская обл.",61520,2015-02-01
"Банкирский Дом лицензия № 2928, Санкт-Петербург и обл.",61306,2015-02-01
"Региональный Банк Сбережений лицензия № 3367, Москва и обл.",59295,2015-02-01
"Канский лицензия № 860, Красноярский край",58665,2015-02-01
"Пойдем! лицензия № 2534, Москва и обл.",57206,2015-02-01
"Коммерческий Индо Банк лицензия № 3446, Москва и обл.",53993,2015-02-01
"Петрокоммерц лицензия № 1776, Москва и обл.",53960,2015-02-01
"Хоум Кредит Банк лицензия № 316, Москва и обл.",51412,2015-02-01
"Восточный Банк лицензия № 1460, Амурская обл.",51391,2015-02-01
"Енисей лицензия № 474, Красноярский край",50455,2015-02-01
"Кошелев-Банк лицензия № 3300, Самарская обл.",50117,2015-02-01
"Урал ФД лицензия № 249, Пермская обл.",49145,2015-02-01
"Тихоокеанский Внешторгбанк лицензия № 1378, Сахалинская обл.",48035,2015-02-01
"АйМаниБанк лицензия № 1975, Москва и обл.",45916,2015-02-01
"Континент Финанс лицензия № 149, Калужская обл.",43993,2015-02-01
"Терра лицензия № 3476, Москва и обл.",43167,2015-02-01
"Живаго-Банк лицензия № 2065, Рязанская обл.",43141,2015-02-01
"Банк ВВБ лицензия № 1093, Ярославская обл.",43131,2015-02-01
"Еврокоммерц лицензия № 1777, Москва и обл.",42863,2015-02-01
"МВС Банк лицензия № 2407, Дагестан",42544,2015-02-01
"Чувашкредитпромбанк лицензия № 1280, Чувашия",42329,2015-02-01
"Конгресс-Банк лицензия № 2330, Москва и обл.",41227,2015-02-01
"Народный Доверительный Банк лицензия № 2374, Москва и обл.",41048,2015-02-01
"Севергазбанк лицензия № 2816, Вологодская обл.",40650,2015-02-01
"ВРБ лицензия № 3499, Москва и обл.",40409,2015-02-01
"Челябинвестбанк лицензия № 493, Челябинская обл.",39692,2015-02-01
"Арсенал лицензия № 3000, Москва и обл.",39534,2015-02-01
