Лицензия_банк,ИД_401,дата
"Сбербанк России лицензия № 1481, Москва и обл.",4 192 387 782,2015-02-01
"ВТБ 24 лицензия № 1623, Москва и обл.",1 286 585 787,2015-02-01
"Альфа-Банк лицензия № 1326, Москва и обл.",424 646 541,2015-02-01
"Газпромбанк лицензия № 354, Москва и обл.",271 485 217,2015-02-01
"Райффайзенбанк лицензия № 3292, Москва и обл.",233 421 922,2015-02-01
"Промсвязьбанк лицензия № 3251, Москва и обл.",164 515 212,2015-02-01
"БМ-Банк лицензия № 2748, Москва и обл.",162 107 295,2015-02-01
"Россельхозбанк лицензия № 3349, Москва и обл.",146 421 190,2015-02-01
"Ханты-Мансийский банк Открытие лицензия № 1971, Москва и обл.",136 706 259,2015-02-01
"Московский Кредитный Банк лицензия № 1978, Москва и обл.",127 895 838,2015-02-01
"Росбанк лицензия № 2272, Москва и обл.",125 666 887,2015-02-01
"ЮниКредит Банк лицензия № 1, Москва и обл.",114 633 481,2015-02-01
"Русский Стандарт лицензия № 2289, Москва и обл.",108 941 734,2015-02-01
"МДМ Банк лицензия № 2562, Москва и обл.",95 172 374,2015-02-01
"Хоум Кредит Банк лицензия № 316, Москва и обл.",93 660 459,2015-02-01
"Банк Уралсиб лицензия № 2275, Москва и обл.",82 102 349,2015-02-01
"Банк «Санкт-Петербург» лицензия № 436, Санкт-Петербург и обл.",81 553 020,2015-02-01
"Ситибанк лицензия № 2557, Москва и обл.",80 643 346,2015-02-01
"Банк «ФК Открытие» лицензия № 2209, Москва и обл.",78 802 229,2015-02-01
"Петрокоммерц лицензия № 1776, Москва и обл.",65 022 437,2015-02-01
"Бинбанк лицензия № 323, Москва и обл.",60 170 416,2015-02-01
"Уральский Банк Реконструкции и Развития лицензия № 429, Свердловская обл.",55 997 301,2015-02-01
"Возрождение лицензия № 1439, Москва и обл.",53 514 473,2015-02-01
"Московский Индустриальный Банк лицензия № 912, Москва и обл.",51 494 238,2015-02-01
"Восточный Банк лицензия № 1460, Амурская обл.",51 210 513,2015-02-01
"СМП Банк лицензия № 3368, Москва и обл.",47 148 038,2015-02-01
"Национальный Банк «Траст» лицензия № 3279, Москва и обл.",43 893 559,2015-02-01
"Абсолют Банк лицензия № 2306, Москва и обл.",42 988 001,2015-02-01
"Ренессанс Кредит лицензия № 3354, Москва и обл.",42 949 316,2015-02-01
"Совкомбанк лицензия № 963, Костромская обл.",38 257 647,2015-02-01
"СКБ-Банк лицензия № 705, Свердловская обл.",36 645 784,2015-02-01
"Югра лицензия № 880, Ханты-Мансийский АО — Югра",36 474 223,2015-02-01
"Российский Капитал лицензия № 2312, Москва и обл.",34 993 547,2015-02-01
"Авангард лицензия № 2879, Москва и обл.",32 634 150,2015-02-01
"Ак Барс лицензия № 2590, Татарстан",31 827 135,2015-02-01
"Банк Зенит лицензия № 3255, Москва и обл.",31 586 847,2015-02-01
"Тинькофф Банк лицензия № 2673, Москва и обл.",31 232 274,2015-02-01
"Глобэкс лицензия № 1942, Москва и обл.",30 585 364,2015-02-01
