лицензия,дата,fact,CatBoost,RF
1,2017-01-01,0.0,0.16116278951988375,0.2141412479643051
1,2017-02-01,0.0,0.11406512103724392,0.23390330545168111
1,2017-03-01,0.0,0.13044139593541523,0.22176936290612875
1,2017-04-01,0.0,0.08904171904928089,0.19859494569431393
1,2017-05-01,0.0,0.1020982692378734,0.20384198887564048
1,2017-06-01,0.0,0.15876254955805158,0.22157042867902293
1,2017-07-01,0.0,0.08709470328252798,0.20438325654528197
1,2017-08-01,0.0,0.20764032412695133,0.21426937879996005
1,2017-09-01,0.0,0.21870713850361537,0.20948654567911032
1,2017-10-01,0.0,0.18108008047469204,0.20126266436359774
1,2017-11-01,0.0,0.10484046800458845,0.21843432962447068
1,2017-12-01,0.0,0.11215931648052474,0.1828565855319061
2,2017-01-01,0.0,0.30715628078361124,0.42239238188953454
2,2017-02-01,0.0,0.4384283100811307,0.44866065000146715
2,2017-03-01,0.0,0.31679042311306616,0.4224056880546886
2,2017-04-01,0.0,0.17198814900934925,0.4039386505449742
2,2017-05-01,0.0,0.20520845687964406,0.42850060989908406
2,2017-06-01,0.0,0.44024331266224126,0.45878949899624055
2,2017-07-01,0.0,0.2310562347830863,0.471048885333087
2,2017-08-01,0.0,0.20853110232686187,0.33925316160729196
2,2017-09-01,0.0,0.4282474919699621,0.4189586443296995
2,2017-10-01,0.0,0.24779447823169293,0.4174632007600267
2,2017-11-01,0.0,0.3777241370277945,0.4534374187967443
2,2017-12-01,0.0,0.2744637229768952,0.3920680942945828
21,2017-01-01,0.0,0.43472211403289335,0.4036249268928045
21,2017-02-01,0.0,0.36375036080859163,0.3951226478347134
21,2017-03-01,0.0,0.24873028612191805,0.409099286726176
21,2017-04-01,0.0,0.38788451159604725,0.5133016421734791
21,2017-05-01,0.0,0.40238648084645745,0.5057154357258327
21,2017-06-01,0.0,0.6715705537558048,0.49742603029584903
21,2017-07-01,0.0,0.36328043720421743,0.49068845892352775
21,2017-08-01,0.0,0.4968596799101622,0.43518004428780255
21,2017-09-01,0.0,0.617798741092084,0.4885563814937183
21,2017-10-01,0.0,0.6597770170116389,0.4886592059761849
21,2017-11-01,0.0,0.457373420360214,0.51138159394106
21,2017-12-01,0.0,0.4846193973790321,0.5093798877033886
52,2017-01-01,0.0,0.7027297400420413,0.5776434245606151
52,2017-02-01,0.0,0.5641069722986815,0.4551794682808496
52,2017-03-01,0.0,0.445097599781231,0.45564114609952205
52,2017-04-01,0.0,0.32605408511527784,0.45610202057565524
52,2017-05-01,0.0,0.21552113822012806,0.45753717023191437
52,2017-06-01,0.0,0.48148843924342394,0.4699160278041715
52,2017-07-01,0.0,0.2396768894705968,0.46018039179882547
52,2017-08-01,0.0,0.39617780158430144,0.43465597293435476
52,2017-09-01,0.0,0.45147721325371687,0.4545222519489015
52,2017-10-01,0.0,0.5335950854673753,0.4580904082216645
52,2017-11-01,0.0,0.2709946358138762,0.44849497350470713
52,2017-12-01,0.0,0.308280098983232,0.4606940835968124
53,2017-01-01,0.0,0.38359246219915444,0.4616505540065649
53,2017-02-01,0.0,0.5786639871865406,0.5625776339447002
53,2017-03-01,0.0,0.4381394227905007,0.5535911272893472
53,2017-04-01,0.0,0.4406355188106192,0.5490254938901585
53,2017-05-01,0.0,0.4254526454263251,0.5799067359878779
53,2017-06-01,0.0,0.5953251450242074,0.574166621802253
53,2017-07-01,0.0,0.27724517872144366,0.45631153094440535
53,2017-08-01,0.0,0.29975798175385804,0.4176421491972169
53,2017-09-01,0.0,0.33299108668486715,0.4219714647848332
53,2017-10-01,0.0,0.32522532200130516,0.4003957987940366
53,2017-11-01,0.0,0.18701703552068463,0.4298641056292659
53,2017-12-01,0.0,0.3336984880806254,0.46521395815953975
55,2017-01-01,1.0,0.9627874493357753,0.6938879105743019
65,2017-01-01,0.0,0.160622809599209,0.4133187301033094
65,2017-02-01,0.0,0.07996706424007732,0.3219819493044927
65,2017-03-01,0.0,0.03681432740792058,0.3202903348700491
65,2017-04-01,0.0,0.06466714588869614,0.32040686309805344
65,2017-05-01,0.0,0.05299908779820333,0.31310955937677176
65,2017-06-01,0.0,0.1829871776008311,0.33535663519274905
65,2017-07-01,0.0,0.11651484654073228,0.3313714854908
65,2017-08-01,0.0,0.10637618654350516,0.304115841617806
65,2017-09-01,0.0,0.12426395175693127,0.2783373657768433
65,2017-10-01,0.0,0.1206773368537042,0.2939696673553968
65,2017-11-01,0.0,0.05292368903408996,0.2943910006089334
65,2017-12-01,0.0,0.0885407206601751,0.307438024368898
67,2017-01-01,0.0,0.19877463869417392,0.321579070676914
67,2017-02-01,0.0,0.2366034070393018,0.31719210693183375
67,2017-03-01,0.0,0.09241956562153597,0.2935348510111886
67,2017-04-01,0.0,0.15772025363646053,0.32239966963665345
67,2017-05-01,0.0,0.10339204126060518,0.31503303286567014
67,2017-06-01,0.0,0.28037657873042643,0.32997640803176786
67,2017-07-01,0.0,0.07268285307198798,0.31390584794886006
67,2017-08-01,0.0,0.09481979728657963,0.29945372658517455
67,2017-09-01,0.0,0.16297489309900065,0.3187223590192382
67,2017-10-01,0.0,0.23669978006758538,0.3611350039822854
67,2017-11-01,0.0,0.13489540872273914,0.35629079368370625
67,2017-12-01,0.0,0.17397944515835978,0.3478486234079836
77,2017-01-01,0.0,0.7805696883253664,0.6112025057340859
77,2017-02-01,0.0,0.7578502565886754,0.5690664803447522
77,2017-03-01,0.0,0.6233492407046607,0.5302296849401502
77,2017-04-01,0.0,0.7165298060126587,0.6632391513475209
77,2017-05-01,0.0,0.617469967518766,0.606352609185856
77,2017-06-01,0.0,0.6413045569294137,0.5432032398153014
77,2017-07-01,0.0,0.3476804956490145,0.4107057052878041
77,2017-08-01,0.0,0.4719150364861046,0.42263736888474374
77,2017-09-01,0.0,0.48140835868021825,0.413374055141252
77,2017-10-01,0.0,0.431072290568893,0.3990951811644116
77,2017-11-01,0.0,0.2839024980763898,0.38970457029417505
77,2017-12-01,0.0,0.2724357175461362,0.39352962992522134
85,2017-01-01,0.0,0.4105147213619927,0.42453666922597205
85,2017-02-01,0.0,0.20832798554204307,0.38853346769142366
85,2017-03-01,0.0,0.06560313352468278,0.3624496561473529
85,2017-04-01,0.0,0.13146043027203616,0.4382238524807399
85,2017-05-01,0.0,0.1966749220387787,0.4254120057188855
85,2017-06-01,0.0,0.35278829573949455,0.4287051012751018
85,2017-07-01,0.0,0.24821535909400602,0.4057641438824554
85,2017-08-01,0.0,0.21567568343443658,0.35525747776282157
85,2017-09-01,0.0,0.26975579839699515,0.4197717020343134
85,2017-10-01,0.0,0.30718205726351633,0.43957064633429105
85,2017-11-01,0.0,0.16241525792943914,0.4222299733059091
85,2017-12-01,0.0,0.19877676521550006,0.4466782587459125
96,2017-01-01,0.0,0.381578315134226,0.5038906521143153
96,2017-02-01,0.0,0.3319405398629927,0.3949042530606459
96,2017-03-01,0.0,0.49977465993506875,0.4426721490128367
96,2017-04-01,0.0,0.3027202837126885,0.4283294320520361
96,2017-08-01,0.0,0.1864695967712074,0.3541134048515297
96,2017-09-01,0.0,0.2596908729033822,0.425748584953317
96,2017-10-01,0.0,0.2858782966121965,0.423322335446257
96,2017-11-01,0.0,0.2647195136274677,0.41742503088296823
96,2017-12-01,0.0,0.30580178760446985,0.42638229044610554
101,2017-01-01,0.0,0.2035036044319669,0.37790776810777754
101,2017-02-01,0.0,0.1614119284248744,0.3371698750838995
101,2017-03-01,0.0,0.08786078503113791,0.3425017463291841
101,2017-04-01,0.0,0.10465497221013574,0.3547419601821253
101,2017-05-01,0.0,0.15129299656503306,0.3617916217092126
