лицензия,дата,банк
0,2010-02-01,ИпоТек Банк — Северо-Западный филиал
0,2010-03-01,ИпоТек Банк — Северо-Западный филиал
0,2010-04-01,ИпоТек Банк — Северо-Западный филиал
0,2010-05-01,ИпоТек Банк — Северо-Западный филиал
0,2010-06-01,ИпоТек Банк — Северо-Западный филиал
0,2010-07-01,ИпоТек Банк — Северо-Западный филиал
0,2010-08-01,ИпоТек Банк — Северо-Западный филиал
0,2010-09-01,ИпоТек Банк — Северо-Западный филиал
0,2010-10-01,ИпоТек Банк — Северо-Западный филиал
0,2010-11-01,ИпоТек Банк — Северо-Западный филиал
0,2010-12-01,ИпоТек Банк — Северо-Западный филиал
0,2011-01-01,ИпоТек Банк — Северо-Западный филиал
0,2011-02-01,ИпоТек Банк — Северо-Западный филиал
0,2011-03-01,ИпоТек Банк — Северо-Западный филиал
0,2011-04-01,ИпоТек Банк — Северо-Западный филиал
0,2011-05-01,ИпоТек Банк — Северо-Западный филиал
0,2011-06-01,ИпоТек Банк — Северо-Западный филиал
0,2011-07-01,ИпоТек Банк — Северо-Западный филиал
0,2011-08-01,ИпоТек Банк — Северо-Западный филиал
0,2011-09-01,ИпоТек Банк — Северо-Западный филиал
0,2011-10-01,ИпоТек Банк — Северо-Западный филиал
1,2010-02-01,ЮниКредит Банк
1,2010-03-01,ЮниКредит Банк
1,2010-04-01,ЮниКредит Банк
1,2010-05-01,ЮниКредит Банк
1,2010-06-01,ЮниКредит Банк
1,2010-07-01,ЮниКредит Банк
1,2010-08-01,ЮниКредит Банк
1,2010-09-01,ЮниКредит Банк
1,2010-10-01,ЮниКредит Банк
1,2010-11-01,ЮниКредит Банк
1,2010-12-01,ЮниКредит Банк
1,2011-01-01,ЮниКредит Банк
1,2011-02-01,ЮниКредит Банк
1,2011-03-01,ЮниКредит Банк
1,2011-04-01,ЮниКредит Банк
1,2011-05-01,ЮниКредит Банк
1,2011-06-01,ЮниКредит Банк
1,2011-07-01,ЮниКредит Банк
1,2011-07-01,ЮниКредит Банк
1,2011-08-01,ЮниКредит Банк
1,2011-09-01,ЮниКредит Банк
1,2011-10-01,ЮниКредит Банк
1,2011-11-01,ЮниКредит Банк
1,2011-12-01,ЮниКредит Банк
1,2012-01-01,ЮниКредит Банк
1,2012-02-01,ЮниКредит Банк
1,2012-03-01,ЮниКредит Банк
1,2012-04-01,ЮниКредит Банк
1,2012-05-01,ЮниКредит Банк
1,2012-06-01,ЮниКредит Банк
1,2012-07-01,ЮниКредит Банк
1,2012-08-01,ЮниКредит Банк
1,2012-09-01,ЮниКредит Банк
1,2012-10-01,ЮниКредит Банк
1,2012-11-01,ЮниКредит Банк
1,2012-12-01,ЮниКредит Банк
1,2013-01-01,ЮниКредит Банк
1,2013-02-01,ЮниКредит Банк
1,2013-03-01,ЮниКредит Банк
1,2013-04-01,ЮниКредит Банк
1,2013-05-01,ЮниКредит Банк
1,2013-06-01,ЮниКредит Банк
1,2013-07-01,ЮниКредит Банк
1,2013-08-01,ЮниКредит Банк
1,2013-09-01,ЮниКредит Банк
1,2013-10-01,ЮниКредит Банк
1,2013-11-01,ЮниКредит Банк
1,2013-12-01,ЮниКредит Банк
1,2014-01-01,ЮниКредит Банк
1,2014-02-01,ЮниКредит Банк
1,2014-03-01,ЮниКредит Банк
1,2014-04-01,ЮниКредит Банк
1,2014-05-01,ЮниКредит Банк
1,2014-06-01,ЮниКредит Банк
1,2014-07-01,ЮниКредит Банк
1,2014-08-01,ЮниКредит Банк
1,2014-09-01,ЮниКредит Банк
1,2014-10-01,ЮниКредит Банк
1,2014-11-01,ЮниКредит Банк
1,2014-12-01,ЮниКредит Банк
1,2015-01-01,ЮниКредит Банк
1,2015-02-01,ЮниКредит Банк
1,2015-03-01,ЮниКредит Банк
1,2015-04-01,ЮниКредит Банк
1,2015-05-01,ЮниКредит Банк
1,2015-06-01,ЮниКредит Банк
1,2015-08-01,ЮниКредит Банк
1,2015-09-01,ЮниКредит Банк
1,2015-10-01,ЮниКредит Банк
1,2015-11-01,ЮниКредит Банк
1,2015-12-01,ЮниКредит Банк
1,2016-01-01,ЮниКредит Банк
1,2016-02-01,ЮниКредит Банк
1,2016-03-01,ЮниКредит Банк
1,2016-04-01,ЮниКредит Банк
1,2016-05-01,ЮниКредит Банк
1,2016-06-01,ЮниКредит Банк
1,2016-07-01,ЮниКредит Банк
1,2016-08-01,ЮниКредит Банк
1,2016-09-01,ЮниКредит Банк
1,2016-10-01,ЮниКредит Банк
1,2016-11-01,ЮниКредит Банк
1,2016-12-01,ЮниКредит Банк
1,2017-01-01,ЮниКредит Банк
1,2017-02-01,ЮниКредит Банк
1,2017-03-01,ЮниКредит Банк
1,2017-04-01,ЮниКредит Банк
1,2017-05-01,ЮниКредит Банк
1,2017-06-01,ЮниКредит Банк
1,2017-07-01,ЮниКредит Банк
1,2017-08-01,ЮниКредит Банк
1,2017-09-01,ЮниКредит Банк
1,2017-10-01,ЮниКредит Банк
1,2017-11-01,ЮниКредит Банк
1,2017-12-01,ЮниКредит Банк
2,2010-02-01,Викинг
2,2010-03-01,Викинг
2,2010-04-01,Викинг
2,2010-05-01,Викинг
2,2010-06-01,Викинг
2,2010-07-01,Викинг
2,2010-08-01,Викинг
2,2010-09-01,Викинг
2,2010-10-01,Викинг
2,2010-11-01,Викинг
2,2010-12-01,Викинг
2,2011-01-01,Викинг
2,2011-02-01,Викинг
2,2011-03-01,Викинг
2,2011-04-01,Викинг
2,2011-05-01,Викинг
2,2011-06-01,Викинг
2,2011-07-01,Викинг
2,2011-08-01,Викинг
2,2011-09-01,Викинг
2,2011-10-01,Викинг
2,2011-11-01,Викинг
2,2011-12-01,Викинг
2,2012-01-01,Викинг
2,2012-02-01,Викинг
2,2012-03-01,Викинг
2,2012-04-01,Викинг
2,2012-05-01,Викинг
2,2012-06-01,Викинг
2,2012-07-01,Викинг
2,2012-08-01,Викинг
2,2012-09-01,Викинг
2,2012-10-01,Викинг
2,2012-11-01,Викинг
2,2012-12-01,Викинг
2,2013-01-01,Викинг
2,2013-02-01,Викинг
2,2013-03-01,Викинг
2,2013-04-01,Викинг
2,2013-05-01,Викинг
2,2013-06-01,Викинг
2,2013-07-01,Викинг
2,2013-08-01,Викинг
2,2013-09-01,Викинг
2,2013-10-01,Викинг
2,2013-11-01,Викинг
2,2013-12-01,Викинг
2,2014-01-01,Викинг
2,2014-02-01,Викинг
2,2014-03-01,Викинг
2,2014-04-01,Викинг
2,2014-05-01,Викинг
2,2014-06-01,Викинг
2,2014-07-01,Викинг
2,2014-08-01,Викинг
2,2014-09-01,Викинг
2,2014-10-01,Викинг
2,2014-11-01,Викинг
2,2014-12-01,Викинг
2,2015-01-01,Викинг
2,2015-02-01,Викинг
2,2015-03-01,Викинг
2,2015-04-01,Викинг
2,2015-05-01,Викинг
2,2015-06-01,Викинг
2,2015-07-01,Викинг
2,2015-08-01,Викинг
2,2015-09-01,Викинг
2,2015-10-01,Викинг
2,2015-11-01,Викинг
2,2015-12-01,Викинг
