Лицензия_банк,ИД_1400,дата
"Вкабанк лицензия № 1027, Астраханская обл.",15705,2015-02-01
"Гута-Банк лицензия № 256, Москва и обл.",15678,2015-02-01
"Русфинанс Банк лицензия № 1792, Самарская обл.",15617,2015-02-01
"Кубаньторгбанк лицензия № 478, Краснодарский край",15463,2015-02-01
"Великие Луки Банк лицензия № 598, Псковская обл.",15441,2015-02-01
"Банк Расчетов и Сбережений лицензия № 2617, Москва и обл.",15426,2015-02-01
"Еврокапитал-Альянс лицензия № 2672, Ярославская обл.",15389,2015-02-01
"НС Банк лицензия № 3124, Москва и обл.",15324,2015-02-01
"Новобанк лицензия № 1352, Новгородская обл.",15296,2015-02-01
"Экспобанк лицензия № 2998, Москва и обл.",15283,2015-02-01
"Центрально-Азиатский лицензия № 3037, Хакасия",15249,2015-02-01
"Балтика лицензия № 967, Москва и обл.",15227,2015-02-01
"Витабанк лицензия № 356, Санкт-Петербург и обл.",15215,2015-02-01
"Метробанк лицензия № 2548, Москва и обл.",15205,2015-02-01
"Вологдабанк лицензия № 992, Вологодская обл.",15187,2015-02-01
"Новация лицензия № 840, Адыгея",15173,2015-02-01
"Плато-Банк лицензия № 2071, Свердловская обл.",15165,2015-02-01
"Выборг-Банк лицензия № 720, Санкт-Петербург и обл.",15136,2015-02-01
"Донкомбанк лицензия № 492, Ростовская обл.",15128,2015-02-01
"Первобанк лицензия № 3461, Самарская обл.",15125,2015-02-01
"РусЮгбанк лицензия № 2093, Волгоградская обл.",15125,2015-02-01
"Рента-Банк лицензия № 3095, Москва и обл.",15101,2015-02-01
"Банк Экономический Союз лицензия № 2798, Москва и обл.",15099,2015-02-01
"Екатерининский лицензия № 2167, Москва и обл.",15059,2015-02-01
"Тамбовкредитпромбанк лицензия № 1312, Тамбовская обл.",15016,2015-02-01
"Северный Народный Банк лицензия № 2721, Коми",14984,2015-02-01
"Центр-инвест лицензия № 2225, Ростовская обл.",14954,2015-02-01
"Сервис-Резерв лицензия № 2034, Москва и обл.",14944,2015-02-01
"Уралприватбанк лицензия № 153, Свердловская обл.",14931,2015-02-01
"Меткомбанк (Череповец) лицензия № 901, Вологодская обл.",14824,2015-02-01
"Саратов лицензия № 330, Саратовская обл.",14822,2015-02-01
"Северо-Западный 1 Альянс Банк лицензия № 766, Санкт-Петербург и обл.",14817,2015-02-01
"Акция лицензия № 927, Ивановская обл.",14797,2015-02-01
"Южный Региональный Банк лицензия № 3015, Ростовская обл.",14793,2015-02-01
"Калуга лицензия № 1151, Калужская обл.",14783,2015-02-01
"Муниципальный Камчатпрофитбанк лицензия № 2103, Камчатская обл.",14771,2015-02-01
"Кузнецкбизнесбанк лицензия № 1158, Кемеровская обл.",14757,2015-02-01
"Русское Финансовое Общество лицензия № 3427, Москва и обл.",14750,2015-02-01
"Национальный Банк Взаимного Кредита лицензия № 3214, Москва и обл.",14736,2015-02-01
"Финанс Бизнес Банк лицензия № 520, Москва и обл.",14725,2015-02-01
"Европейский Стандарт лицензия № 3200, Кабардино-Балкария",14696,2015-02-01
"Томскпромстройбанк лицензия № 1720, Томская обл.",14685,2015-02-01
"Радиотехбанк лицензия № 1166, Нижегородская обл.",14682,2015-02-01
"Снежинский лицензия № 1376, Челябинская обл.",14604,2015-02-01
"Бенифит-Банк лицензия № 3229, Москва и обл.",14596,2015-02-01
"Крайинвестбанк лицензия № 3360, Краснодарский край",14577,2015-02-01
"Межрегиональный промышленно-строительный банк лицензия № 752, Мордовия",14572,2015-02-01
"Майский лицензия № 1673, Кабардино-Балкария",14566,2015-02-01
"1Банк лицензия № 2896, Северная Осетия — Алания",14537,2015-02-01
"Алжан лицензия № 2491, Дагестан",14500,2015-02-01
"Риабанк лицензия № 3434, Москва и обл.",14493,2015-02-01
"Нальчик лицензия № 695, Кабардино-Балкария",14477,2015-02-01
"Ланта-Банк лицензия № 1920, Москва и обл.",14468,2015-02-01
"Сибнефтебанк лицензия № 385, Тюменская обл.",14456,2015-02-01
"Космос лицензия № 2245, Москва и обл.",14433,2015-02-01
"Йошкар-Ола лицензия № 2802, Марий Эл",14383,2015-02-01
"Челябинвестбанк лицензия № 493, Челябинская обл.",14342,2015-02-01
"Русский Национальный Банк лицензия № 469, Ростовская обл.",14310,2015-02-01
"Гринфилдбанк лицензия № 2711, Москва и обл.",14287,2015-02-01
"Газтрансбанк лицензия № 665, Адыгея",14165,2015-02-01
"ГринКомБанк лицензия № 1184, Иркутская обл.",14090,2015-02-01
"Первый Дортрансбанк лицензия № 3271, Кировская обл.",14047,2015-02-01
"Богородский Муниципальный Банк лицензия № 2992, Москва и обл.",14038,2015-02-01
"Кошелев-Банк лицензия № 3300, Самарская обл.",13945,2015-02-01
"Аксонбанк лицензия № 680, Костромская обл.",13940,2015-02-01
"Мурманский Социальный Коммерческий Банк лицензия № 2722, Мурманская обл.",13883,2015-02-01
"Холмск лицензия № 503, Сахалинская обл.",13872,2015-02-01
"Зираат Банк лицензия № 2559, Москва и обл.",13830,2015-02-01
"МТИ-Банк лицензия № 1052, Москва и обл.",13799,2015-02-01
"Держава лицензия № 2738, Москва и обл.",13793,2015-02-01
"Химик лицензия № 1114, Нижегородская обл.",13786,2015-02-01
"Кранбанк лицензия № 2271, Ивановская обл.",13774,2015-02-01
"Александровский лицензия № 53, Санкт-Петербург и обл.",13741,2015-02-01
"Расчетно-Кредитный Банк лицензия № 103, Москва и обл.",13729,2015-02-01
"Витязь лицензия № 2890, Москва и обл.",13694,2015-02-01
"Холдинвестбанк лицензия № 2837, Москва и обл.",13664,2015-02-01
"Банк РСБ 24 (Русславбанк) лицензия № 1073, Москва и обл.",13655,2015-02-01
"Петрокоммерц лицензия № 1776, Москва и обл.",13579,2015-02-01
"Первоуральскбанк лицензия № 965, Свердловская обл.",13562,2015-02-01
"Живаго-Банк лицензия № 2065, Рязанская обл.",13551,2015-02-01
"Финансово-Промышленный Капитал лицензия № 3295, Москва и обл.",13542,2015-02-01
"Альта-Банк лицензия № 2269, Москва и обл.",13518,2015-02-01
"Белгородсоцбанк лицензия № 760, Белгородская обл.",13495,2015-02-01
"Бинбанк Столица лицензия № 3052, Москва и обл.",13494,2015-02-01
"Русь лицензия № 704, Оренбургская обл.",13482,2015-02-01
"Приобье лицензия № 537, Ханты-Мансийский АО — Югра",13481,2015-02-01
"Вест лицензия № 2605, Москва и обл.",13401,2015-02-01
"Уралкапиталбанк лицензия № 2519, Башкортостан",13373,2015-02-01
"Кедр лицензия № 1574, Красноярский край",13337,2015-02-01
"Возрождение лицензия № 1439, Москва и обл.",13318,2015-02-01
"Кетовский Коммерческий Банк лицензия № 842, Курганская обл.",13313,2015-02-01
"АлтайБизнес-Банк лицензия № 2388, Алтайский край",13313,2015-02-01
"Промсельхозбанк лицензия № 538, Москва и обл.",13308,2015-02-01
"Торговый Городской Банк лицензия № 3180, Тверская обл.",13253,2015-02-01
"Гранд Инвест Банк лицензия № 3053, Москва и обл.",13241,2015-02-01
"БСТ-Банк лицензия № 2883, Кемеровская обл.",13237,2015-02-01
"Итуруп лицензия № 2390, Сахалинская обл.",13195,2015-02-01
"Приполярком лицензия № 507, Тюменская обл.",13192,2015-02-01
"Инвестторгбанк лицензия № 2763, Москва и обл.",13155,2015-02-01
"Ермак лицензия № 1809, Ханты-Мансийский АО — Югра",13126,2015-02-01
"Кредпромбанк лицензия № 1165, Ярославская обл.",13112,2015-02-01
"Кросна-Банк лицензия № 2607, Москва и обл.",13090,2015-02-01
"Ганзакомбанк лицензия № 1734, Санкт-Петербург и обл.",13082,2015-02-01
"Саровбизнесбанк лицензия № 2048, Нижегородская обл.",13049,2015-02-01
"Евроазиатский Инвестиционный Банк лицензия № 2897, Москва и обл.",13029,2015-02-01
"Енисей лицензия № 474, Красноярский край",13017,2015-02-01
"Тексбанк лицензия № 2756, Карачаево-Черкесия",13004,2015-02-01
"ПИР Банк лицензия № 2655, Москва и обл.",12990,2015-02-01
"Невастройинвест лицензия № 1926, Санкт-Петербург и обл.",12970,2015-02-01
"Финансовый Капитал лицензия № 3288, Санкт-Петербург и обл.",12961,2015-02-01
"Новопокровский лицензия № 467, Краснодарский край",12959,2015-02-01
"Верхневолжский лицензия № 1084, Ярославская обл.",12925,2015-02-01
"Ассоциация лицензия № 732, Нижегородская обл.",12906,2015-02-01
"Банк Инноваций и Развития лицензия № 2647, Москва и обл.",12898,2015-02-01
"Максима лицензия № 3379, Москва и обл.",12881,2015-02-01
"Иваново лицензия № 1763, Ивановская обл.",12857,2015-02-01
"Объединенный Банк Республики лицензия № 1016, Чувашия",12812,2015-02-01
"Банк БЦК-Москва лицензия № 3480, Москва и обл.",12797,2015-02-01
"Ноосфера лицензия № 2650, Республика Алтай",12770,2015-02-01
"Северный Кредит лицензия № 2398, Вологодская обл.",12740,2015-02-01
"Банк Торгового Финансирования лицензия № 1982, Москва и обл.",12700,2015-02-01
"Стелла-Банк лицензия № 2948, Ростовская обл.",12692,2015-02-01
"Вологжанин лицензия № 1896, Вологодская обл.",12682,2015-02-01
"Национальный Залоговый Банк лицензия № 2944, Москва и обл.",12678,2015-02-01
"Вятич лицензия № 2796, Рязанская обл.",12676,2015-02-01
"Солидарность (Москва) лицензия № 1555, Москва и обл.",12657,2015-02-01
"Кузнецкий Мост лицензия № 2254, Москва и обл.",12657,2015-02-01
"Автоторгбанк лицензия № 2776, Москва и обл.",12653,2015-02-01
"Запсибкомбанк лицензия № 918, Тюменская обл.",12589,2015-02-01
"Петербургский Социальный Коммерческий Банк лицензия № 2551, Санкт-Петербург и обл.",12588,2015-02-01
"Челиндбанк лицензия № 485, Челябинская обл.",12582,2015-02-01
"Агророс лицензия № 2860, Саратовская обл.",12569,2015-02-01
"Сибсоцбанк лицензия № 2015, Алтайский край",12539,2015-02-01
"Промышленно-Финансовое Сотрудничество лицензия № 2410, Москва и обл.",12534,2015-02-01
"Тимер Банк лицензия № 1581, Татарстан",12508,2015-02-01
"Русский Банк Сбережений лицензия № 779, Ставропольский край",12481,2015-02-01
"Владпромбанк лицензия № 870, Владимирская обл.",12464,2015-02-01
"Новокиб лицензия № 1747, Кемеровская обл.",12454,2015-02-01
"Конфидэнс Банк лицензия № 970, Костромская обл.",12392,2015-02-01
"Углеметбанк лицензия № 2997, Челябинская обл.",12381,2015-02-01
"Экси-Банк лицензия № 2530, Санкт-Петербург и обл.",12372,2015-02-01
"Тройка-Д Банк лицензия № 3431, Москва и обл.",12372,2015-02-01
"Берейт лицензия № 3505, Санкт-Петербург и обл.",12363,2015-02-01
"Классик Эконом Банк лицензия № 3298, Северная Осетия — Алания",12336,2015-02-01
"Яринтербанк лицензия № 2564, Ярославская обл.",12321,2015-02-01
"Дагэнергобанк лицензия № 3286, Дагестан",12287,2015-02-01
"ФорБанк лицензия № 2063, Москва и обл.",12280,2015-02-01
"Банк Казани лицензия № 708, Татарстан",12271,2015-02-01
"Тагилбанк лицензия № 1635, Свердловская обл.",12227,2015-02-01
"Урал ФД лицензия № 249, Пермская обл.",12227,2015-02-01
"Банк Реалист (бывш. МПБ) лицензия № 2646, Москва и обл.",12188,2015-02-01
"Арсенал лицензия № 3000, Москва и обл.",12143,2015-02-01
"Платежный Клиринговый Дом лицензия № 3343, Москва и обл.",12137,2015-02-01
"Северстройбанк лицензия № 3507, Вологодская обл.",12125,2015-02-01
"Инвестиционный Республиканский Банк лицензия № 2571, Москва и обл.",12117,2015-02-01
"Вэлтон Банк лицензия № 1105, Белгородская обл.",12107,2015-02-01
"Народный Земельно-Промышленный Банк лицензия № 2873, Алтайский край",12057,2015-02-01
"Кубань Кредит лицензия № 2518, Краснодарский край",12048,2015-02-01
"Юниаструм Банк лицензия № 2771, Москва и обл.",12045,2015-02-01
"Юг-Инвестбанк лицензия № 2772, Краснодарский край",12041,2015-02-01
"Эл Банк лицензия № 1025, Самарская обл.",12029,2015-02-01
"Акцепт лицензия № 567, Новосибирская обл.",12022,2015-02-01
"Энергобанк лицензия № 67, Татарстан",12001,2015-02-01
"Жилкредит лицензия № 1736, Москва и обл.",11987,2015-02-01
"Банк Интеза лицензия № 2216, Москва и обл.",11987,2015-02-01
"Стройлесбанк лицензия № 2995, Тюменская обл.",11949,2015-02-01
"Таатта лицензия № 1249, Саха (Якутия)",11919,2015-02-01
"Солидарность (Самара) лицензия № 554, Самарская обл.",11834,2015-02-01
"Норвик Банк лицензия № 902, Кировская обл.",11828,2015-02-01
"Примтеркомбанк лицензия № 21, Приморский край",11820,2015-02-01
"Межрегиональный Банк Реконструкции лицензия № 2620, Москва и обл.",11800,2015-02-01
"Булгар Банк лицензия № 1917, Татарстан",11794,2015-02-01
"Финам Банк лицензия № 2799, Москва и обл.",11752,2015-02-01
"Алтайкапиталбанк лицензия № 2659, Алтайский край",11715,2015-02-01
"Алданзолотобанк лицензия № 854, Саха (Якутия)",11686,2015-02-01
"Приско Капитал Банк лицензия № 2537, Москва и обл.",11684,2015-02-01
"Региональный Коммерческий Банк лицензия № 836, Ульяновская обл.",11679,2015-02-01
"Банк «Санкт-Петербург» лицензия № 436, Санкт-Петербург и обл.",11662,2015-02-01
"Богородский лицензия № 1277, Нижегородская обл.",11656,2015-02-01
"Славянбанк лицензия № 804, Новгородская обл.",11638,2015-02-01
"Тетраполис лицензия № 1586, Санкт-Петербург и обл.",11590,2015-02-01
"ИТ Банк лицензия № 2609, Омская обл.",11536,2015-02-01
"Российский Капитал лицензия № 2312, Москва и обл.",11534,2015-02-01
"Айви Банк лицензия № 2055, Москва и обл.",11524,2015-02-01
"Майма лицензия № 1037, Москва и обл.",11481,2015-02-01
"Хлынов лицензия № 254, Кировская обл.",11454,2015-02-01
"Банк Раунд лицензия № 2506, Москва и обл.",11436,2015-02-01
"Банк «Советский» лицензия № 558, Санкт-Петербург и обл.",11429,2015-02-01
"Московский Нефтехимический Банк лицензия № 1411, Москва и обл.",11422,2015-02-01
"Идея Банк лицензия № 430, Краснодарский край",11306,2015-02-01
"Кузнецкий лицензия № 609, Пензенская обл.",11262,2015-02-01
"РТС-Банк лицензия № 3401, Самарская обл.",11259,2015-02-01
"Аспект лицензия № 608, Москва и обл.",11217,2015-02-01
"ТЭМБР-Банк лицензия № 2764, Москва и обл.",11213,2015-02-01
"Кредит Европа Банк лицензия № 3311, Москва и обл.",11188,2015-02-01
"РБА лицензия № 3413, Москва и обл.",11187,2015-02-01
"Вокбанк лицензия № 312, Нижегородская обл.",11179,2015-02-01
"Синергия лицензия № 2884, Саратовская обл.",11156,2015-02-01
"Донхлеббанк лицензия № 2285, Ростовская обл.",11143,2015-02-01
"Росбизнесбанк лицензия № 1405, Москва и обл.",11135,2015-02-01
"Невский Банк лицензия № 1068, Санкт-Петербург и обл.",11118,2015-02-01
"Банк Премьер Кредит лицензия № 1663, Москва и обл.",11117,2015-02-01
"Кредит Урал Банк лицензия № 2584, Челябинская обл.",11081,2015-02-01
"Промэнергобанк лицензия № 2728, Вологодская обл.",11063,2015-02-01
"Прохладный лицензия № 874, Кабардино-Балкария",11056,2015-02-01
"Промрегионбанк лицензия № 2123, Томская обл.",11034,2015-02-01
"Инвестсоцбанк лицензия № 3010, Москва и обл.",11032,2015-02-01
"Руна-Банк лицензия № 3207, Москва и обл.",11000,2015-02-01
"Аресбанк лицензия № 2914, Москва и обл.",10945,2015-02-01
"ЕвроситиБанк лицензия № 1869, Москва и обл.",10932,2015-02-01
"Экономбанк лицензия № 1319, Саратовская обл.",10931,2015-02-01
"Объединенный Национальный Банк лицензия № 2074, Нижегородская обл.",10899,2015-02-01
"Курскпромбанк лицензия № 735, Курская обл.",10886,2015-02-01
"Глобэкс лицензия № 1942, Москва и обл.",10880,2015-02-01
"Новикомбанк лицензия № 2546, Москва и обл.",10859,2015-02-01
"Актив Банк лицензия № 2529, Мордовия",10834,2015-02-01
"Алмазэргиэнбанк лицензия № 2602, Саха (Якутия)",10833,2015-02-01
"Арксбанк лицензия № 1868, Москва и обл.",10818,2015-02-01
"Союз лицензия № 2307, Москва и обл.",10764,2015-02-01
"Социнвестбанк лицензия № 1132, Башкортостан",10757,2015-02-01
"Нерюнгрибанк лицензия № 825, Саха (Якутия)",10745,2015-02-01
"Росдорбанк лицензия № 1573, Москва и обл.",10742,2015-02-01
"Нацинвестпромбанк лицензия № 3077, Москва и обл.",10724,2015-02-01
"КС Банк лицензия № 1752, Мордовия",10667,2015-02-01
"Энергомашбанк лицензия № 52, Санкт-Петербург и обл.",10664,2015-02-01
"Севзапинвестпромбанк лицензия № 2152, Санкт-Петербург и обл.",10657,2015-02-01
"Банк Уралсиб лицензия № 2275, Москва и обл.",10648,2015-02-01
"Преодоление лицензия № 2649, Москва и обл.",10645,2015-02-01
"Златкомбанк лицензия № 568, Москва и обл.",10629,2015-02-01
"Сетелем Банк лицензия № 2168, Москва и обл.",10549,2015-02-01
"МФБанк лицензия № 3163, Москва и обл.",10547,2015-02-01
"Земский Банк лицензия № 2900, Самарская обл.",10514,2015-02-01
"Ставропольпромстройбанк лицензия № 1288, Ставропольский край",10505,2015-02-01
"Церих лицензия № 3278, Орловская обл.",10495,2015-02-01
"Анкор Банк лицензия № 889, Татарстан",10483,2015-02-01
"Межтопэнергобанк лицензия № 2956, Москва и обл.",10451,2015-02-01
"ПартнерКапиталБанк (бывш. НоваховКапиталБанк) лицензия № 635, Москва и обл.",10437,2015-02-01
"Хакасский Муниципальный Банк лицензия № 1049, Хакасия",10436,2015-02-01
"Эко-Инвест лицензия № 3116, Москва и обл.",10419,2015-02-01
"Дальневосточный Банк лицензия № 843, Приморский край",10402,2015-02-01
"ББР Банк лицензия № 2929, Москва и обл.",10381,2015-02-01
"Аверс лицензия № 415, Татарстан",10289,2015-02-01
"Татсоцбанк лицензия № 480, Татарстан",10189,2015-02-01
"Руснарбанк лицензия № 3403, Москва и обл.",10185,2015-02-01
"Прайм Финанс лицензия № 2758, Санкт-Петербург и обл.",10183,2015-02-01
"Банкхаус Эрбе лицензия № 1717, Москва и обл.",10149,2015-02-01
"Земкомбанк лицензия № 574, Ростовская обл.",10121,2015-02-01
"Алтынбанк лицензия № 2070, Татарстан",10117,2015-02-01
"Зернобанк лицензия № 2337, Алтайский край",10098,2015-02-01
"Внешпромбанк лицензия № 3261, Москва и обл.",10094,2015-02-01
"Легион лицензия № 3117, Москва и обл.",10092,2015-02-01
"ИпоТек Банк лицензия № 2794, Москва и обл.",10085,2015-02-01
"Россельхозбанк лицензия № 3349, Москва и обл.",10085,2015-02-01
"Интеркоопбанк лицензия № 2803, Москва и обл.",10081,2015-02-01
"КОР лицензия № 2148, Волгоградская обл.",10075,2015-02-01
"Экспресс-Кредит лицензия № 210, Москва и обл.",10054,2015-02-01
"Бинбанк Сургут лицензия № 1701, Ханты-Мансийский АО — Югра",10040,2015-02-01
"Фреско Банк лицензия № 1415, Москва и обл.",10034,2015-02-01
