Лицензия_банк,ИД_1400,дата
"МСП Банк лицензия № 3340, Москва и обл.",72682,2015-02-01
"Флора-Москва лицензия № 533, Москва и обл.",38653,2015-02-01
"ГПБ-Ипотека лицензия № 2403, Москва и обл.",35103,2015-02-01
"Си Ди Би Банк лицензия № 3339, Краснодарский край",33105,2015-02-01
"Зеленокумская лицензия № 1239, Ставропольский край",32783,2015-02-01
"Санкт-Петербургский Банк Инвестиций лицензия № 3468, Санкт-Петербург и обл.",30409,2015-02-01
"Кредит-Москва лицензия № 5, Москва и обл.",29729,2015-02-01
"Веста лицензия № 2368, Москва и обл.",29497,2015-02-01
"Констанс-Банк лицензия № 2228, Санкт-Петербург и обл.",29304,2015-02-01
"Спутник лицензия № 1071, Оренбургская обл.",29158,2015-02-01
"Банк ПСА Финанс Рус лицензия № 3481, Москва и обл.",29092,2015-02-01
"Банк ВВБ лицензия № 1093, Ярославская обл.",28727,2015-02-01
"Н-Банк лицензия № 3493, Москва и обл.",28189,2015-02-01
"Континент Финанс лицензия № 149, Калужская обл.",27938,2015-02-01
"Старооскольский Агропромбанк лицензия № 1050, Белгородская обл.",27705,2015-02-01
"Бизнес для Бизнеса лицензия № 1060, Чувашия",27448,2015-02-01
"Континенталь лицензия № 3184, Ставропольский край",27355,2015-02-01
"ИК Банк лицензия № 1732, Татарстан",27151,2015-02-01
"Евразийский Банк лицензия № 969, Москва и обл.",26680,2015-02-01
"Тойота Банк лицензия № 3470, Москва и обл.",26549,2015-02-01
"Информпрогресс лицензия № 2166, Москва и обл.",26222,2015-02-01
"Анелик РУ лицензия № 3443, Москва и обл.",26031,2015-02-01
"Профессионал Банк лицензия № 2471, Москва и обл.",25655,2015-02-01
"БайкалИнвестБанк лицензия № 1067, Иркутская обл.",25596,2015-02-01
"Банк БКФ лицензия № 2684, Москва и обл.",25044,2015-02-01
"БМВ Банк лицензия № 3482, Москва и обл.",25037,2015-02-01
"НБК-Банк лицензия № 3283, Москва и обл.",24625,2015-02-01
"Консервативный Коммерческий Банк лицензия № 1087, Астраханская обл.",24201,2015-02-01
"Костромаселькомбанк лицензия № 1115, Костромская обл.",24165,2015-02-01
"Геленджик-Банк лицензия № 790, Краснодарский край",23604,2015-02-01
"Сибирский Банк Реконструкции и Развития лицензия № 1284, Тюменская обл.",23496,2015-02-01
"Коммерческий Индо Банк лицензия № 3446, Москва и обл.",23250,2015-02-01
"Банк Зенит лицензия № 3255, Москва и обл.",23233,2015-02-01
"Мерседес-Бенц Банк Рус лицензия № 3473, Москва и обл.",23112,2015-02-01
"Далена Банк лицензия № 1948, Москва и обл.",22811,2015-02-01
"Содружество лицензия № 2923, Москва и обл.",22706,2015-02-01
"МГБ лицензия № 2866, Дагестан",22653,2015-02-01
"Вакобанк лицензия № 1291, Псковская обл.",22599,2015-02-01
"ТЭСТ лицензия № 3440, Москва и обл.",22510,2015-02-01
"Акрополь лицензия № 3027, Москва и обл.",22376,2015-02-01
"Альтернатива лицензия № 3452, Москва и обл.",22271,2015-02-01
"Торжокуниверсалбанк лицензия № 933, Тверская обл.",22256,2015-02-01
"Социум-Банк лицензия № 2881, Москва и обл.",22209,2015-02-01
"Сельмашбанк лицензия № 106, Ростовская обл.",22186,2015-02-01
"Байкалкредобанк лицензия № 2990, Иркутская обл.",22117,2015-02-01
"Московское Ипотечное Агентство лицензия № 3344, Москва и обл.",22057,2015-02-01
"Дальний Восток лицензия № 3318, Тульская обл.",21935,2015-02-01
"Далта-Банк лицензия № 142, Приморский край",21929,2015-02-01
"ИРС лицензия № 272, Москва и обл.",21883,2015-02-01
"РН Банк лицензия № 170, Москва и обл.",21565,2015-02-01
"Татагропромбанк лицензия № 728, Татарстан",21482,2015-02-01
"Чувашкредитпромбанк лицензия № 1280, Чувашия",21335,2015-02-01
"Курган лицензия № 2568, Курганская обл.",21327,2015-02-01
"Международный Акционерный Банк лицензия № 1987, Москва и обл.",21298,2015-02-01
"СДМ-Банк лицензия № 1637, Москва и обл.",21010,2015-02-01
"Бинбанк Тверь лицензия № 777, Тверская обл.",20985,2015-02-01
"МАК-Банк лицензия № 1088, Москва и обл.",20968,2015-02-01
"Москва-Сити лицензия № 3247, Москва и обл.",20913,2015-02-01
"Камский Горизонт лицензия № 2554, Татарстан",20740,2015-02-01
"Фольксваген Банк Рус лицензия № 3500, Москва и обл.",20709,2015-02-01
"Стандарт-Кредит лицензия № 841, Адыгея",20437,2015-02-01
"Тихоокеанский Внешторгбанк лицензия № 1378, Сахалинская обл.",20363,2015-02-01
"Росэксимбанк лицензия № 2790, Москва и обл.",20124,2015-02-01
"Зенит Сочи лицензия № 232, Краснодарский край",19955,2015-02-01
"Евроальянс лицензия № 1781, Ивановская обл.",19911,2015-02-01
"Таганрогбанк лицензия № 3136, Ростовская обл.",19776,2015-02-01
"НОКССбанк лицензия № 3202, Волгоградская обл.",19565,2015-02-01
"Михайловский ПЖСБ лицензия № 2961, Волгоградская обл.",19546,2015-02-01
"Народный Инвестиционный Банк лицензия № 2876, Самарская обл.",19425,2015-02-01
"НКБ лицензия № 2942, Калмыкия",19309,2015-02-01
"Арзамас лицензия № 1281, Нижегородская обл.",19278,2015-02-01
"Смолевич лицензия № 1121, Смоленская обл.",19194,2015-02-01
"Эльбин лицензия № 2267, Дагестан",19145,2015-02-01
"Бинбанк Смоленск лицензия № 1957, Смоленская обл.",19113,2015-02-01
"Крона-Банк лицензия № 2499, Иркутская обл.",19008,2015-02-01
"МС Банк Рус лицензия № 2789, Москва и обл.",18940,2015-02-01
"Максимум лицензия № 466, Ростовская обл.",18919,2015-02-01
"Взаимодействие лицензия № 1704, Новосибирская обл.",18793,2015-02-01
"Прио-Внешторгбанк лицензия № 212, Рязанская обл.",18790,2015-02-01
"Межрегионбанк лицензия № 1059, Москва и обл.",18764,2015-02-01
"МВС Банк лицензия № 2407, Дагестан",18763,2015-02-01
"Крыловский лицензия № 456, Краснодарский край",18735,2015-02-01
"Старый Кремль лицензия № 2657, Москва и обл.",18712,2015-02-01
"Майкопбанк лицензия № 1136, Адыгея",18332,2015-02-01
"Дружба лицензия № 990, Тюменская обл.",18269,2015-02-01
"Банк на Красных Воротах лицензия № 2472, Москва и обл.",18142,2015-02-01
"Уралпромбанк лицензия № 2964, Челябинская обл.",18138,2015-02-01
"Солид Банк лицензия № 1329, Камчатская обл.",17961,2015-02-01
"Бум-Банк лицензия № 1137, Кабардино-Балкария",17866,2015-02-01
"ГРиС-Банк лицензия № 1928, Ставропольский край",17838,2015-02-01
"Камский Коммерческий Банк лицензия № 438, Татарстан",17809,2015-02-01
"Автоградбанк лицензия № 1455, Татарстан",17750,2015-02-01
"Пермь лицензия № 875, Пермская обл.",17615,2015-02-01
"Локо-Банк лицензия № 2707, Москва и обл.",17612,2015-02-01
"АйМаниБанк лицензия № 1975, Москва и обл.",17610,2015-02-01
"Еврокредит лицензия № 2957, Москва и обл.",17400,2015-02-01
"Гефест лицензия № 1046, Тверская обл.",17292,2015-02-01
"Роспромбанк лицензия № 3204, Москва и обл.",17183,2015-02-01
"Объединенный Резервный Банк лицензия № 937, Москва и обл.",17160,2015-02-01
"Ресурс-Траст лицензия № 3122, Москва и обл.",16839,2015-02-01
"Лэнд-Банк лицензия № 1478, Москва и обл.",16773,2015-02-01
"Банк Глобус лицензия № 2438, Москва и обл.",16755,2015-02-01
"Саммит Банк лицензия № 85, Приморский край",16698,2015-02-01
"Алма Банк лицензия № 604, Москва и обл.",16695,2015-02-01
"Промсвязьинвест лицензия № 2761, Дагестан",16628,2015-02-01
"Липецккомбанк лицензия № 1242, Липецкая обл.",16596,2015-02-01
"Строительно-Коммерческий Банк лицензия № 3050, Санкт-Петербург и обл.",16565,2015-02-01
"Почтобанк лицензия № 1788, Пермская обл.",16501,2015-02-01
"СМБ-Банк лицензия № 3504, Санкт-Петербург и обл.",16472,2015-02-01
"Спиритбанк лицензия № 2053, Тульская обл.",16244,2015-02-01
"Кемсоцинбанк лицензия № 96, Кемеровская обл.",16177,2015-02-01
"Акцент лицензия № 696, Оренбургская обл.",16175,2015-02-01
"ФИА-Банк лицензия № 2542, Самарская обл.",16150,2015-02-01
"Риал-Кредит лицензия № 3393, Москва и обл.",16094,2015-02-01
"Тайдон лицензия № 2085, Кемеровская обл.",16086,2015-02-01
"Газнефтьбанк лицензия № 3223, Саратовская обл.",16037,2015-02-01
"Братский АНКБ лицензия № 1144, Иркутская обл.",16005,2015-02-01
"Владбизнесбанк лицензия № 903, Владимирская обл.",15992,2015-02-01
"УМ-Банк лицензия № 1441, Свердловская обл.",15955,2015-02-01
"Столичный Кредит лицензия № 2853, Москва и обл.",15893,2015-02-01
"Долинск лицензия № 857, Сахалинская обл.",15830,2015-02-01
"Сургутнефтегазбанк лицензия № 588, Ханты-Мансийский АО — Югра",15762,2015-02-01
"Евромет лицензия № 2902, Москва и обл.",15753,2015-02-01
"Балаково-Банк лицензия № 444, Саратовская обл.",15719,2015-02-01
