Лицензия_банк,ИД_1800,дата
"Радиотехбанк лицензия № 1166, Нижегородская обл.",31960,2015-02-01
"МАСТ-Банк лицензия № 3267, Москва и обл.",31760,2015-02-01
"Тойота Банк лицензия № 3470, Москва и обл.",31618,2015-02-01
"Кредо Финанс лицензия № 793, Дагестан",31245,2015-02-01
"Финансовый Стандарт лицензия № 1053, Москва и обл.",31128,2015-02-01
"Таганрогбанк лицензия № 3136, Ростовская обл.",30591,2015-02-01
"К2 Банк лицензия № 2851, Карачаево-Черкесия",30401,2015-02-01
"МТС Банк лицензия № 2268, Москва и обл.",30385,2015-02-01
"Рента-Банк лицензия № 3095, Москва и обл.",30364,2015-02-01
"ВостСибтранскомбанк лицензия № 2731, Иркутская обл.",30344,2015-02-01
"ДельтаКредит лицензия № 3338, Москва и обл.",30307,2015-02-01
"Алма Банк лицензия № 604, Москва и обл.",30125,2015-02-01
"СКБ-Банк лицензия № 705, Свердловская обл.",29508,2015-02-01
"Бенифит-Банк лицензия № 3229, Москва и обл.",28916,2015-02-01
"Дальневосточный Банк лицензия № 843, Приморский край",28895,2015-02-01
"Актив Банк лицензия № 2529, Мордовия",28671,2015-02-01
"Альтернатива лицензия № 3452, Москва и обл.",28221,2015-02-01
"НСТ-Банк лицензия № 1738, Оренбургская обл.",27521,2015-02-01
"Петрокоммерц лицензия № 1776, Москва и обл.",27147,2015-02-01
"РусьРегионБанк лицензия № 685, Москва и обл.",26742,2015-02-01
"Примсоцбанк лицензия № 2733, Приморский край",26655,2015-02-01
"Сибэс лицензия № 208, Омская обл.",26308,2015-02-01
"ГринКомБанк лицензия № 1184, Иркутская обл.",26238,2015-02-01
"Русский Международный Банк лицензия № 3123, Москва и обл.",26165,2015-02-01
"Великие Луки Банк лицензия № 598, Псковская обл.",26085,2015-02-01
"Эко-Инвест лицензия № 3116, Москва и обл.",25836,2015-02-01
"Тинькофф Банк лицензия № 2673, Москва и обл.",25772,2015-02-01
"Социнвестбанк лицензия № 1132, Башкортостан",25460,2015-02-01
"Мир Бизнес Банк лицензия № 3396, Москва и обл.",25075,2015-02-01
"Регионфинансбанк лицензия № 3357, Москва и обл.",25046,2015-02-01
"Томскпромстройбанк лицензия № 1720, Томская обл.",24890,2015-02-01
"СтарБанк лицензия № 548, Москва и обл.",24652,2015-02-01
"Банк Уралсиб лицензия № 2275, Москва и обл.",24601,2015-02-01
"Тендер-Банк лицензия № 2252, Москва и обл.",24314,2015-02-01
"Приморье лицензия № 3001, Приморский край",23796,2015-02-01
"Классик Эконом Банк лицензия № 3298, Северная Осетия — Алания",23448,2015-02-01
"КС Банк лицензия № 1752, Мордовия",23445,2015-02-01
"Ставропольпромстройбанк лицензия № 1288, Ставропольский край",23380,2015-02-01
"Газтрансбанк лицензия № 665, Адыгея",23376,2015-02-01
"Бинбанк лицензия № 323, Москва и обл.",23323,2015-02-01
"РосЕвроБанк лицензия № 3137, Москва и обл.",23058,2015-02-01
"Снежинский лицензия № 1376, Челябинская обл.",22983,2015-02-01
"Челиндбанк лицензия № 485, Челябинская обл.",22979,2015-02-01
"Южный Региональный Банк лицензия № 3015, Ростовская обл.",22955,2015-02-01
"Зенит Сочи лицензия № 232, Краснодарский край",22716,2015-02-01
"Курскпромбанк лицензия № 735, Курская обл.",22685,2015-02-01
"Мерседес-Бенц Банк Рус лицензия № 3473, Москва и обл.",22612,2015-02-01
"РУБанк лицензия № 2813, Москва и обл.",22526,2015-02-01
"Московский Кредитный Банк лицензия № 1978, Москва и обл.",22493,2015-02-01
"Бинбанк Смоленск лицензия № 1957, Смоленская обл.",22454,2015-02-01
"Хакасский Муниципальный Банк лицензия № 1049, Хакасия",22375,2015-02-01
"ТЭМБР-Банк лицензия № 2764, Москва и обл.",22339,2015-02-01
"Терра лицензия № 3476, Москва и обл.",22286,2015-02-01
"Си Ди Би Банк лицензия № 3339, Краснодарский край",22172,2015-02-01
"Булгар Банк лицензия № 1917, Татарстан",22049,2015-02-01
"Газэнергобанк лицензия № 3252, Калужская обл.",22015,2015-02-01
"Строительно-Коммерческий Банк лицензия № 3050, Санкт-Петербург и обл.",21931,2015-02-01
"БМВ Банк лицензия № 3482, Москва и обл.",21888,2015-02-01
