Лицензия_банк,ИД_1600,дата
"Н-Банк лицензия № 3493, Москва и обл.",4831,2015-02-01
"Горбанк лицензия № 2982, Санкт-Петербург и обл.",4829,2015-02-01
"Приполярком лицензия № 507, Тюменская обл.",4825,2015-02-01
"ИР-Кредит лицензия № 1724, Москва и обл.",4798,2015-02-01
"Севзапинвестпромбанк лицензия № 2152, Санкт-Петербург и обл.",4794,2015-02-01
"Спецстройбанк лицензия № 236, Москва и обл.",4743,2015-02-01
"Дальний Восток лицензия № 3318, Тульская обл.",4740,2015-02-01
"Сумитомо Мицуи лицензия № 3494, Москва и обл.",4714,2015-02-01
"Максимум лицензия № 466, Ростовская обл.",4675,2015-02-01
"Далена Банк лицензия № 1948, Москва и обл.",4668,2015-02-01
"Стар Альянс лицензия № 3433, Москва и обл.",4649,2015-02-01
"21 Век лицензия № 3309, Санкт-Петербург и обл.",4643,2015-02-01
"Центрально-Азиатский лицензия № 3037, Хакасия",4635,2015-02-01
"Дружба лицензия № 990, Тюменская обл.",4583,2015-02-01
"Банк РМП лицензия № 2574, Москва и обл.",4574,2015-02-01
"Новый Век лицензия № 3417, Москва и обл.",4569,2015-02-01
"СЭБ Банк лицензия № 3235, Санкт-Петербург и обл.",4535,2015-02-01
"Балаково-Банк лицензия № 444, Саратовская обл.",4533,2015-02-01
"Новое Время лицензия № 3492, Москва и обл.",4530,2015-02-01
"Вакобанк лицензия № 1291, Псковская обл.",4507,2015-02-01
"Прохладный лицензия № 874, Кабардино-Балкария",4410,2015-02-01
"Космос лицензия № 2245, Москва и обл.",4387,2015-02-01
"Аверс лицензия № 415, Татарстан",4321,2015-02-01
"Аделантбанк лицензия № 1835, Москва и обл.",4305,2015-02-01
"Вестинтербанк лицензия № 3398, Москва и обл.",4286,2015-02-01
"Первоуральскбанк лицензия № 965, Свердловская обл.",4257,2015-02-01
"Стандарт-Кредит лицензия № 841, Адыгея",4247,2015-02-01
"ПартнерКапиталБанк (бывш. НоваховКапиталБанк) лицензия № 635, Москва и обл.",4243,2015-02-01
"Национальный Резервный Банк лицензия № 2170, Москва и обл.",4178,2015-02-01
"Телекоммерц Банк лицензия № 3380, Тульская обл.",4173,2015-02-01
"Ури Банк лицензия № 3479, Москва и обл.",4146,2015-02-01
"Республиканский Кредитный Альянс лицензия № 3017, Москва и обл.",4124,2015-02-01
"Майский лицензия № 1673, Кабардино-Балкария",4122,2015-02-01
"Анелик РУ лицензия № 3443, Москва и обл.",4115,2015-02-01
"Вэлтон Банк лицензия № 1105, Белгородская обл.",4104,2015-02-01
"Национальный Банк Взаимного Кредита лицензия № 3214, Москва и обл.",4089,2015-02-01
"Тандем лицензия № 1951, Москва и обл.",4058,2015-02-01
"Евразийский Банк лицензия № 969, Москва и обл.",4044,2015-02-01
"Металлург лицензия № 2877, Москва и обл.",4042,2015-02-01
"Банк ПСА Финанс Рус лицензия № 3481, Москва и обл.",4004,2015-02-01
"АРБ-Инкасс лицензия № 3353, Москва и обл.",4000,2015-02-01
"Флора-Москва лицензия № 533, Москва и обл.",3993,2015-02-01
"Кредитинвест лицензия № 1197, Дагестан",3981,2015-02-01
"АББ лицензия № 2937, Москва и обл.",3972,2015-02-01
"Москва лицензия № 1661, Москва и обл.",3967,2015-02-01
"Динамичные Системы лицензия № 3439, Москва и обл.",3885,2015-02-01
"Дом-Банк лицензия № 3209, Москва и обл.",3881,2015-02-01
"Славянбанк лицензия № 804, Новгородская обл.",3872,2015-02-01
"Азимут лицензия № 3154, Москва и обл.",3856,2015-02-01
"Газтрансбанк лицензия № 665, Адыгея",3845,2015-02-01
"Турбобанк лицензия № 3203, Санкт-Петербург и обл.",3827,2015-02-01
"Первый Клиентский Банк лицензия № 3436, Москва и обл.",3825,2015-02-01
"Тальменка-Банк лицензия № 826, Алтайский край",3809,2015-02-01
"ИРС лицензия № 272, Москва и обл.",3785,2015-02-01
"Объединенный Национальный Банк лицензия № 2074, Нижегородская обл.",3781,2015-02-01
"Зираат Банк лицензия № 2559, Москва и обл.",3769,2015-02-01
"ЕвроАксис Банк лицензия № 3273, Москва и обл.",3759,2015-02-01
"Великие Луки Банк лицензия № 598, Псковская обл.",3685,2015-02-01
"Банк Сберегательно-кредитного сервиса лицензия № 3224, Москва и обл.",3680,2015-02-01
"Акция лицензия № 927, Ивановская обл.",3668,2015-02-01
"Саратов лицензия № 330, Саратовская обл.",3663,2015-02-01
"Соверен Банк лицензия № 3206, Москва и обл.",3663,2015-02-01
"Банк БЦК-Москва лицензия № 3480, Москва и обл.",3660,2015-02-01
"Синергия лицензия № 2884, Саратовская обл.",3645,2015-02-01
"Идеалбанк лицензия № 3491, Москва и обл.",3624,2015-02-01
"КОР лицензия № 2148, Волгоградская обл.",3611,2015-02-01
"Мир Бизнес Банк лицензия № 3396, Москва и обл.",3607,2015-02-01
"Курган лицензия № 2568, Курганская обл.",3569,2015-02-01
"Кузбассхимбанк лицензия № 2868, Кемеровская обл.",3565,2015-02-01
"Банк ВВБ лицензия № 1093, Ярославская обл.",3545,2015-02-01
"Земкомбанк лицензия № 574, Ростовская обл.",3541,2015-02-01
"ГПБ-Ипотека лицензия № 2403, Москва и обл.",3506,2015-02-01
"Взаимодействие лицензия № 1704, Новосибирская обл.",3502,2015-02-01
"Мико-Банк лицензия № 3195, Москва и обл.",3500,2015-02-01
"Итуруп лицензия № 2390, Сахалинская обл.",3496,2015-02-01
"Регнум лицензия № 3373, Москва и обл.",3494,2015-02-01
"Новый Промышленный Банк лицензия № 930, Москва и обл.",3488,2015-02-01
"УМ-Банк лицензия № 1441, Свердловская обл.",3398,2015-02-01
"Тор Кредит лицензия № 3497, Москва и обл.",3367,2015-02-01
"Кузнецкий Мост лицензия № 2254, Москва и обл.",3350,2015-02-01
"МТИ-Банк лицензия № 1052, Москва и обл.",3337,2015-02-01
"Прокоммерцбанк лицензия № 2996, Москва и обл.",3333,2015-02-01
"Современный Коммерческий Инновационный Банк лицензия № 3329, Костромская обл.",3332,2015-02-01
"Финарс Банк лицензия № 2938, Москва и обл.",3332,2015-02-01
"Тетраполис лицензия № 1586, Санкт-Петербург и обл.",3320,2015-02-01
"Руна-Банк лицензия № 3207, Москва и обл.",3318,2015-02-01
"Энерготрансбанк лицензия № 1307, Калининградская обл.",3316,2015-02-01
"Расчетный Дом лицензия № 3350, Москва и обл.",3297,2015-02-01
"Платежный Клиринговый Дом лицензия № 3343, Москва и обл.",3288,2015-02-01
"Заубер Банк лицензия № 1614, Санкт-Петербург и обл.",3281,2015-02-01
"Кремлевский лицензия № 2905, Москва и обл.",3265,2015-02-01
"Система лицензия № 2846, Москва и обл.",3259,2015-02-01
"Уралприватбанк лицензия № 153, Свердловская обл.",3258,2015-02-01
"Кредпромбанк лицензия № 1165, Ярославская обл.",3256,2015-02-01
"Стройлесбанк лицензия № 2995, Тюменская обл.",3226,2015-02-01
"Траст Капитал Банк лицензия № 2741, Москва и обл.",3198,2015-02-01
"Московское Ипотечное Агентство лицензия № 3344, Москва и обл.",3177,2015-02-01
"Консервативный Коммерческий Банк лицензия № 1087, Астраханская обл.",3171,2015-02-01
"Народный Банк лицензия № 2249, Карачаево-Черкесия",3169,2015-02-01
"Булгар Банк лицензия № 1917, Татарстан",3127,2015-02-01
"Дон-Тексбанк лицензия № 1818, Ростовская обл.",3118,2015-02-01
"ИК Банк лицензия № 1732, Татарстан",3117,2015-02-01
"Ипозембанк лицензия № 3026, Самарская обл.",3117,2015-02-01
"Химик лицензия № 1114, Нижегородская обл.",3117,2015-02-01
"Плато-Банк лицензия № 2071, Свердловская обл.",3102,2015-02-01
"Вятич лицензия № 2796, Рязанская обл.",3098,2015-02-01
"Промсельхозбанк лицензия № 538, Москва и обл.",3080,2015-02-01
"БСТ-Банк лицензия № 2883, Кемеровская обл.",3076,2015-02-01
"Сервис-Резерв лицензия № 2034, Москва и обл.",3073,2015-02-01
"Данске Банк лицензия № 3307, Санкт-Петербург и обл.",3066,2015-02-01
"Камский Горизонт лицензия № 2554, Татарстан",3059,2015-02-01
"Байкалкредобанк лицензия № 2990, Иркутская обл.",3053,2015-02-01
"Чайна Констракшн лицензия № 3515, Москва и обл.",3053,2015-02-01
"Вестерн Юнион ДП Восток лицензия № 2726, Москва и обл.",3046,2015-02-01
"Интеррасчет лицензия № 1618, Москва и обл.",3045,2015-02-01
"Москва-Сити лицензия № 3247, Москва и обл.",3041,2015-02-01
"Санкт-Петербургский Банк Инвестиций лицензия № 3468, Санкт-Петербург и обл.",3038,2015-02-01
"Коммерческий Банк Развития лицензия № 3364, Москва и обл.",3027,2015-02-01
"Бест Эффортс Банк лицензия № 435, Москва и обл.",3011,2015-02-01
"Нальчик лицензия № 695, Кабардино-Балкария",3010,2015-02-01
"Мерседес-Бенц Банк Рус лицензия № 3473, Москва и обл.",2989,2015-02-01
"Мурманский Социальный Коммерческий Банк лицензия № 2722, Мурманская обл.",2984,2015-02-01
"Мурманский Расчетный Центр лицензия № 3341, Мурманская обл.",2981,2015-02-01
"Инкаробанк лицензия № 2696, Москва и обл.",2965,2015-02-01
"Океан Банк лицензия № 1697, Москва и обл.",2958,2015-02-01
"Объединенный Банк Республики лицензия № 1016, Чувашия",2955,2015-02-01
"Руссобанк лицензия № 2313, Москва и обл.",2949,2015-02-01
"Банк Премьер Кредит лицензия № 1663, Москва и обл.",2918,2015-02-01
"1Банк лицензия № 2896, Северная Осетия — Алания",2915,2015-02-01
"Евроазиатский Инвестиционный Банк лицензия № 2897, Москва и обл.",2908,2015-02-01
"Жилкредит лицензия № 1736, Москва и обл.",2901,2015-02-01
"Эльбин лицензия № 2267, Дагестан",2899,2015-02-01
"Онего лицензия № 2484, Карелия",2885,2015-02-01
"Содружество лицензия № 2923, Москва и обл.",2882,2015-02-01
"Максима лицензия № 3379, Москва и обл.",2859,2015-02-01
"Михайловский ПЖСБ лицензия № 2961, Волгоградская обл.",2854,2015-02-01
"Унифондбанк лицензия № 3416, Москва и обл.",2854,2015-02-01
"Пермь лицензия № 875, Пермская обл.",2851,2015-02-01
"Банк Агора лицензия № 3231, Москва и обл.",2851,2015-02-01
"Сити Инвест Банк лицензия № 3194, Санкт-Петербург и обл.",2850,2015-02-01
"Кубанский Универсальный Банк лицензия № 2898, Краснодарский край",2819,2015-02-01
"Арзамас лицензия № 1281, Нижегородская обл.",2814,2015-02-01
"Сельмашбанк лицензия № 106, Ростовская обл.",2804,2015-02-01
"Оней Банк лицензия № 3516, Москва и обл.",2803,2015-02-01
"Коммерцбанк (Евразия) лицензия № 3333, Москва и обл.",2778,2015-02-01
"Еврокапитал-Альянс лицензия № 3459, Ярославская обл.",2776,2015-02-01
"Креди Агриколь КИБ лицензия № 1680, Санкт-Петербург и обл.",2763,2015-02-01
"Саммит Банк лицензия № 85, Приморский край",2750,2015-02-01
"Профессионал Банк лицензия № 2471, Москва и обл.",2741,2015-02-01
"Международный Расчетный Банк лицензия № 3028, Москва и обл.",2734,2015-02-01
"Инвестсоцбанк лицензия № 3010, Москва и обл.",2729,2015-02-01
"Межрегиональный Клиринговый Банк лицензия № 2543, Москва и обл.",2707,2015-02-01
"Интеркредит лицензия № 3047, Москва и обл.",2689,2015-02-01
"Новый Кредитный Союз лицензия № 3139, Москва и обл.",2678,2015-02-01
"Экономикс-Банк лицензия № 2136, Москва и обл.",2665,2015-02-01
"Калуга лицензия № 1151, Калужская обл.",2664,2015-02-01
"Банк Реалист (бывш. МПБ) лицензия № 2646, Москва и обл.",2645,2015-02-01
"Банкхаус Эрбе лицензия № 1717, Москва и обл.",2622,2015-02-01
"Натиксис Банк лицензия № 3390, Москва и обл.",2610,2015-02-01
"НБК-Банк лицензия № 3283, Москва и обл.",2608,2015-02-01
"Алданзолотобанк лицензия № 854, Саха (Якутия)",2603,2015-02-01
"Алтынбанк лицензия № 2070, Татарстан",2597,2015-02-01
"Банк Расчетов и Сбережений лицензия № 2617, Москва и обл.",2592,2015-02-01
"РЕСО Кредит лицензия № 3450, Москва и обл.",2586,2015-02-01
"Смолевич лицензия № 1121, Смоленская обл.",2570,2015-02-01
"Русский Национальный Банк лицензия № 469, Ростовская обл.",2564,2015-02-01
"Примтеркомбанк лицензия № 21, Приморский край",2557,2015-02-01
"МСП Банк лицензия № 3340, Москва и обл.",2555,2015-02-01
"Проминвестбанк лицензия № 2433, Москва и обл.",2543,2015-02-01
"Спутник лицензия № 1071, Оренбургская обл.",2518,2015-02-01
"Еврофинанс Моснарбанк лицензия № 2402, Москва и обл.",2513,2015-02-01
"Национальный Банк Сбережений лицензия № 1949, Ивановская обл.",2510,2015-02-01
"Коммерческий Индо Банк лицензия № 3446, Москва и обл.",2503,2015-02-01
"Азия-Инвест Банк лицензия № 3303, Москва и обл.",2502,2015-02-01
"Татсоцбанк лицензия № 480, Татарстан",2502,2015-02-01
"РНКБ лицензия № 1354, Симферополь",2501,2015-02-01
"Метрополь лицензия № 1639, Москва и обл.",2499,2015-02-01
"Смартбанк лицензия № 3408, Москва и обл.",2493,2015-02-01
"Аспект лицензия № 608, Москва и обл.",2479,2015-02-01
"Кемсоцинбанк лицензия № 96, Кемеровская обл.",2473,2015-02-01
"Капиталбанк лицензия № 2547, Ростовская обл.",2466,2015-02-01
"Межрегионбанк лицензия № 1059, Москва и обл.",2465,2015-02-01
"Югра лицензия № 880, Ханты-Мансийский АО — Югра",2459,2015-02-01
"Славянский Кредит лицензия № 2960, Москва и обл.",2458,2015-02-01
"Международный Банк Санкт-Петербурга (МБСП) лицензия № 197, Санкт-Петербург и обл.",2455,2015-02-01
"Первый Дортрансбанк лицензия № 3271, Кировская обл.",2440,2015-02-01
"Ганзакомбанк лицензия № 1734, Санкт-Петербург и обл.",2437,2015-02-01
"Форус Банк лицензия № 3457, Нижегородская обл.",2435,2015-02-01
"ЕАТП Банк лицензия № 1765, Астраханская обл.",2433,2015-02-01
"Кузнецкбизнесбанк лицензия № 1158, Кемеровская обл.",2430,2015-02-01
"РН Банк лицензия № 170, Москва и обл.",2421,2015-02-01
"Заречье лицензия № 817, Татарстан",2415,2015-02-01
"Банк МБФИ лицензия № 2073, Москва и обл.",2411,2015-02-01
"Соколовский лицензия № 2830, Москва и обл.",2411,2015-02-01
"Сибсоцбанк лицензия № 2015, Алтайский край",2410,2015-02-01
"Северо-Восточный Альянс лицензия № 2768, Москва и обл.",2405,2015-02-01
"ИпоТек Банк лицензия № 2794, Москва и обл.",2396,2015-02-01
"Крокус-Банк лицензия № 2682, Москва и обл.",2391,2015-02-01
"Сталь Банк лицензия № 2248, Москва и обл.",2381,2015-02-01
"Экси-Банк лицензия № 2530, Санкт-Петербург и обл.",2370,2015-02-01
"Уралфинанс лицензия № 1370, Свердловская обл.",2367,2015-02-01
"Банк Жилищного Финансирования лицензия № 3138, Москва и обл.",2366,2015-02-01
"Камчаткомагропромбанк лицензия № 545, Камчатская обл.",2362,2015-02-01
"Кубаньторгбанк лицензия № 478, Краснодарский край",2360,2015-02-01
"Социнвестбанк лицензия № 1132, Башкортостан",2352,2015-02-01
"Расчетно-Кредитный Банк лицензия № 103, Москва и обл.",2343,2015-02-01
"Инвест-Экобанк лицензия № 1956, Санкт-Петербург и обл.",2326,2015-02-01
"Банк Развития Технологий лицензия № 3441, Москва и обл.",2320,2015-02-01
"Венец лицензия № 524, Ульяновская обл.",2315,2015-02-01
"Кредит Экспресс лицензия № 3186, Ростовская обл.",2314,2015-02-01
"Викинг лицензия № 2, Санкт-Петербург и обл.",2302,2015-02-01
"Бинбанк Сургут лицензия № 1701, Ханты-Мансийский АО — Югра",2300,2015-02-01
"Московский Коммерческий Банк лицензия № 3172, Москва и обл.",2300,2015-02-01
"Мосуралбанк лицензия № 2468, Москва и обл.",2294,2015-02-01
"Объединенный Банк Промышленных Инвестиций лицензия № 2626, Москва и обл.",2281,2015-02-01
"Фольксваген Банк Рус лицензия № 3500, Москва и обл.",2273,2015-02-01
"Тайм Банк лицензия № 3120, Москва и обл.",2268,2015-02-01
"Эксперт Банк лицензия № 2949, Омская обл.",2266,2015-02-01
"Мострансбанк лицензия № 2258, Москва и обл.",2251,2015-02-01
"Тульский Промышленник лицензия № 2382, Тульская обл.",2247,2015-02-01
"ФорБанк лицензия № 2063, Москва и обл.",2240,2015-02-01
"Констанс-Банк лицензия № 2228, Санкт-Петербург и обл.",2237,2015-02-01
"Нерюнгрибанк лицензия № 825, Саха (Якутия)",2236,2015-02-01
"Акцент лицензия № 696, Оренбургская обл.",2226,2015-02-01
"Ермак лицензия № 1809, Ханты-Мансийский АО — Югра",2225,2015-02-01
"Центркомбанк лицензия № 2983, Москва и обл.",2224,2015-02-01
"Ростфинанс лицензия № 481, Ростовская обл.",2223,2015-02-01
"Экспо Финанс лицензия № 2594, Москва и обл.",2222,2015-02-01
"Майкопбанк лицензия № 1136, Адыгея",2219,2015-02-01
"Промышленно-Финансовое Сотрудничество лицензия № 2410, Москва и обл.",2217,2015-02-01
"Ишбанк лицензия № 2867, Москва и обл.",2216,2015-02-01
"Новобанк лицензия № 1352, Новгородская обл.",2206,2015-02-01
"Современные Стандарты Бизнеса лицензия № 3397, Москва и обл.",2201,2015-02-01
"Энергобанк лицензия № 67, Татарстан",2191,2015-02-01
"РУБанк лицензия № 2813, Москва и обл.",2188,2015-02-01
"Автоторгбанк лицензия № 2776, Москва и обл.",2186,2015-02-01
"Веста лицензия № 2368, Москва и обл.",2186,2015-02-01
"Алма Банк лицензия № 604, Москва и обл.",2184,2015-02-01
"Единственный лицензия № 3187, Москва и обл.",2182,2015-02-01
"Русское Финансовое Общество лицензия № 3427, Москва и обл.",2181,2015-02-01
"Агроинкомбанк лицензия № 1946, Астраханская обл.",2178,2015-02-01
"Москоммерцбанк лицензия № 3365, Москва и обл.",2178,2015-02-01
"Сириус лицензия № 3506, Омская обл.",2177,2015-02-01
"Почтобанк лицензия № 1788, Пермская обл.",2174,2015-02-01
"Союзный лицензия № 3236, Москва и обл.",2167,2015-02-01
"Оренбург лицензия № 3269, Оренбургская обл.",2145,2015-02-01
"Сибнефтебанк лицензия № 385, Тюменская обл.",2144,2015-02-01
"Международный Коммерческий Банк лицензия № 2524, Москва и обл.",2136,2015-02-01
"Резерв лицензия № 2364, Челябинская обл.",2129,2015-02-01
"Бизнес для Бизнеса лицензия № 1060, Чувашия",2100,2015-02-01
"Гута-Банк лицензия № 256, Москва и обл.",2097,2015-02-01
"Алеф-Банк лицензия № 2119, Москва и обл.",2096,2015-02-01
"Профессионал Банк (бывш. Наш Дом) лицензия № 3296, Москва и обл.",2087,2015-02-01
"Кошелев-Банк лицензия № 3300, Самарская обл.",2084,2015-02-01
"Девон-Кредит лицензия № 1972, Татарстан",2076,2015-02-01
"Гагаринский лицензия № 606, Москва и обл.",2075,2015-02-01
"ГринКомБанк лицензия № 1184, Иркутская обл.",2069,2015-02-01
"Икано Банк лицензия № 3519, Центр",2062,2015-02-01
"Банк на Гончарной (бывш. Япы Креди Банк Москва) лицензия № 2555, Москва и обл.",2053,2015-02-01
"Интерактивный Банк лицензия № 3378, Москва и обл.",2035,2015-02-01
"Бинбанк Столица лицензия № 3052, Москва и обл.",2033,2015-02-01
"Вологдабанк лицензия № 992, Вологодская обл.",2032,2015-02-01
"Гаранти Банк — Москва лицензия № 3275, Москва и обл.",2031,2015-02-01
"Развитие-Столица лицензия № 3013, Москва и обл.",2025,2015-02-01
"Торжокуниверсалбанк лицензия № 933, Тверская обл.",2025,2015-02-01
"Прайм Финанс лицензия № 2758, Санкт-Петербург и обл.",2023,2015-02-01
"Образование лицензия № 1521, Москва и обл.",2022,2015-02-01
"Форштадт лицензия № 2208, Оренбургская обл.",2018,2015-02-01
"Финансово-Расчетный Центр лицензия № 3319, Астраханская обл.",2016,2015-02-01
"Арксбанк лицензия № 1868, Москва и обл.",2006,2015-02-01
"БайкалИнвестБанк лицензия № 1067, Иркутская обл.",2001,2015-02-01
"Объединенный Капитал лицензия № 2611, Санкт-Петербург и обл.",2001,2015-02-01
"Бумеранг лицензия № 1002, Вологодская обл.",1987,2015-02-01
"Приобье лицензия № 537, Ханты-Мансийский АО — Югра",1983,2015-02-01
"Региональный Банк Сбережений лицензия № 3367, Москва и обл.",1982,2015-02-01
"Киви Банк лицензия № 2241, Москва и обл.",1981,2015-02-01
"Евромет лицензия № 2902, Москва и обл.",1975,2015-02-01
"Кетовский Коммерческий Банк лицензия № 842, Курганская обл.",1972,2015-02-01
"Уралпромбанк лицензия № 2964, Челябинская обл.",1970,2015-02-01
"Миръ лицензия № 3089, Москва и обл.",1968,2015-02-01
"Хакасский Муниципальный Банк лицензия № 1049, Хакасия",1965,2015-02-01
"Мастер-Капитал лицензия № 3011, Москва и обл.",1963,2015-02-01
"Лесбанк лицензия № 1598, Москва и обл.",1960,2015-02-01
"ЦентроКредит лицензия № 121, Москва и обл.",1956,2015-02-01
