Лицензия_банк,ИД_1600,дата
"Расчетные Решения лицензия № 3524, Москва и обл.","8 198,53",2015-02-01
"Вест лицензия № 2605, Москва и обл.",25292,2015-02-01
"Евроинвест лицензия № 3383, Москва и обл.",17197,2015-02-01
"Умут лицензия № 2435, Дагестан",15208,2015-02-01
"Фреско Банк лицензия № 1415, Москва и обл.",13412,2015-02-01
"Рунэтбанк лицензия № 2829, Москва и обл.",12861,2015-02-01
"Терра лицензия № 3476, Москва и обл.",12508,2015-02-01
"МВС Банк лицензия № 2407, Дагестан",12411,2015-02-01
"Еврокапитал-Альянс лицензия № 2672, Ярославская обл.",12355,2015-02-01
"Логос лицензия № 3233, Москва и обл.",11893,2015-02-01
"ТЭСТ лицензия № 3440, Москва и обл.",11361,2015-02-01
"Ю Би Эс Банк лицензия № 3463, Москва и обл.",11169,2015-02-01
"Альтернатива лицензия № 3452, Москва и обл.",10726,2015-02-01
"Кредо Финанс лицензия № 793, Дагестан",10405,2015-02-01
"ФФин Банк лицензия № 1143, Сахалинская обл.",9887,2015-02-01
"Алжан лицензия № 2491, Дагестан",9774,2015-02-01
"НКБ лицензия № 2942, Калмыкия",9647,2015-02-01
"АвтоКредитБанк лицензия № 1973, Татарстан",9631,2015-02-01
"Расчетный Финансовый Дом лицензия № 3430, Санкт-Петербург и обл.",9485,2015-02-01
"Северстройбанк лицензия № 3507, Вологодская обл.",9417,2015-02-01
"Частный Расчетно-Кассовый Центр лицензия № 3420, Москва и обл.",9161,2015-02-01
"Рента-Банк лицензия № 3095, Москва и обл.",9144,2015-02-01
"Азия Банк лицензия № 3183, Москва и обл.",9025,2015-02-01
"Зеленокумская лицензия № 1239, Ставропольский край",8937,2015-02-01
"Жилстройбанк лицензия № 2769, Москва и обл.",8728,2015-02-01
"Конгресс-Банк лицензия № 2330, Москва и обл.",8664,2015-02-01
"ГРиС-Банк лицензия № 1928, Ставропольский край",8608,2015-02-01
"Континент Финанс лицензия № 149, Калужская обл.",8582,2015-02-01
"Лэнд-Банк лицензия № 1478, Москва и обл.",8536,2015-02-01
"Континенталь лицензия № 3184, Ставропольский край",8507,2015-02-01
"Нарат лицензия № 1902, Саратовская обл.",8308,2015-02-01
"Южный Региональный Банк лицензия № 3015, Ростовская обл.",8293,2015-02-01
"Эно лицензия № 1988, Краснодарский край",8243,2015-02-01
"Холдинвестбанк лицензия № 2837, Москва и обл.",8220,2015-02-01
"РусьРегионБанк лицензия № 685, Москва и обл.",8174,2015-02-01
"КредитАльянс лицензия № 3472, Вологодская обл.",8165,2015-02-01
"Дорис Банк лицензия № 1679, Москва и обл.",8163,2015-02-01
"Восточно-Европейский Трастовый Банк лицензия № 2253, Москва и обл.",8132,2015-02-01
"Инновационный Расчетный Центр лицензия № 3447, Москва и обл.",7993,2015-02-01
"Транзит лицензия № 2688, Дагестан",7880,2015-02-01
"Майма лицензия № 1037, Москва и обл.",7784,2015-02-01
"Межрегиональный Банк Реконструкции лицензия № 2620, Москва и обл.",7777,2015-02-01
"МС Банк Рус лицензия № 2789, Москва и обл.",7579,2015-02-01
"ЮМК лицензия № 3495, Краснодарский край",7559,2015-02-01
"Башпромбанк лицензия № 1006, Башкортостан",7284,2015-02-01
"Банк Кредит Свисс лицензия № 2494, Москва и обл.",7241,2015-02-01
"Банк РСИ лицензия № 3415, Москва и обл.",7233,2015-02-01
"Внешфинбанк лицензия № 3173, Краснодарский край",6979,2015-02-01
"Российская Финансовая Корпорация лицензия № 3099, Москва и обл.",6978,2015-02-01
"Европейский Стандарт лицензия № 3200, Кабардино-Балкария",6948,2015-02-01
"Тайдон лицензия № 2085, Кемеровская обл.",6905,2015-02-01
"Промсвязьинвест лицензия № 2761, Дагестан",6861,2015-02-01
"Таганрогбанк лицензия № 3136, Ростовская обл.",6849,2015-02-01
"Капитал лицензия № 575, Москва и обл.",6845,2015-02-01
"Далта-Банк лицензия № 142, Приморский край",6734,2015-02-01
"Далетбанк лицензия № 3049, Москва и обл.",6716,2015-02-01
"СМБ-Банк лицензия № 3504, Санкт-Петербург и обл.",6703,2015-02-01
"Народный Инвестиционный Банк лицензия № 2876, Самарская обл.",6607,2015-02-01
"Информпрогресс лицензия № 2166, Москва и обл.",6523,2015-02-01
"Тексбанк лицензия № 2756, Карачаево-Черкесия",6434,2015-02-01
"Арсенал лицензия № 3000, Москва и обл.",6314,2015-02-01
"Строительно-Коммерческий Банк лицензия № 3050, Санкт-Петербург и обл.",6302,2015-02-01
"Русский Банк Сбережений лицензия № 779, Ставропольский край",6256,2015-02-01
"Народный Банк Тувы лицензия № 1309, Тыва",6244,2015-02-01
"Энтузиастбанк лицензия № 3048, Москва и обл.",6195,2015-02-01
"Вкабанк лицензия № 1027, Астраханская обл.",6127,2015-02-01
"Ресурс-Траст лицензия № 3122, Москва и обл.",6028,2015-02-01
"Геобанк лицензия № 2027, Москва и обл.",5962,2015-02-01
"Новокиб лицензия № 1747, Кемеровская обл.",5874,2015-02-01
"Гефест лицензия № 1046, Тверская обл.",5796,2015-02-01
"Лада-Кредит лицензия № 2668, Москва и обл.",5772,2015-02-01
"РБА лицензия № 3413, Москва и обл.",5603,2015-02-01
"Морган Стэнли Банк лицензия № 3456, Москва и обл.",5590,2015-02-01
"Регионфинансбанк лицензия № 3357, Москва и обл.",5585,2015-02-01
"Си Ди Би Банк лицензия № 3339, Краснодарский край",5504,2015-02-01
"Фидбэк лицензия № 3502, Москва и обл.",5486,2015-02-01
"Берейт лицензия № 3505, Санкт-Петербург и обл.",5445,2015-02-01
"Классик Эконом Банк лицензия № 3298, Северная Осетия — Алания",5435,2015-02-01
"Интеркоопбанк лицензия № 2803, Москва и обл.",5394,2015-02-01
"ВРБ лицензия № 3499, Москва и обл.",5312,2015-02-01
"Народный Земельно-Промышленный Банк лицензия № 2873, Алтайский край",5309,2015-02-01
"Эко-Инвест лицензия № 3116, Москва и обл.",5245,2015-02-01
"Тендер-Банк лицензия № 2252, Москва и обл.",5221,2015-02-01
"Олма-Банк лицензия № 3250, Москва и обл.",5216,2015-02-01
"Платежный Центр лицензия № 3166, Новосибирская обл.",5198,2015-02-01
"НОКССбанк лицензия № 3202, Волгоградская обл.",5188,2015-02-01
"РИТЦ Банк лицензия № 2677, Москва и обл.",5124,2015-02-01
"Московский Национальный Инвестиционный Банк лицензия № 3181, Москва и обл.",5039,2015-02-01
"Невастройинвест лицензия № 1926, Санкт-Петербург и обл.",5014,2015-02-01
"НСТ-Банк лицензия № 1738, Оренбургская обл.",4999,2015-02-01
"Старый Кремль лицензия № 2657, Москва и обл.",4980,2015-02-01
"Акрополь лицензия № 3027, Москва и обл.",4937,2015-02-01
"Русьуниверсалбанк лицензия № 3293, Москва и обл.",4905,2015-02-01
"АлтайБизнес-Банк лицензия № 2388, Алтайский край",4887,2015-02-01
"Финтрастбанк лицензия № 3104, Москва и обл.",4857,2015-02-01
"Америкэн Экспресс Банк лицензия № 3460, Москва и обл.",4841,2015-02-01
